Date,City,Locality,Avg_Price_sqft,Avg_Sale_Price,Demand_Index,Growth_%
2018-05-08,Mumbai,Andheri,9718.0,39474516,90,3.42
2018-05-09,Mumbai,Thane,14290.0,46971230,100,9.95
2018-05-10,Pune,Wakad,6753.0,17186385,71,9.4
2018-05-11,Chennai,Anna Nagar,13626.0,21692592,78,14.65
2018-05-12,Hyderabad,Kondapur,5811.0,17369079,58,0.86
2018-05-13,Pune,Wakad,11114.0,15459574,79,13.9
2018-05-14,Mumbai,Bandra,7043.0,20614861,51,9.0
2018-05-15,Chennai,Velachery,5756.0,5594832,50,14.93
2018-05-16,Mumbai,Powai,11854.0,9803258,43,6.75
2018-05-17,Bengaluru,Indiranagar,11260.0,32901720,67,14.51
2018-05-18,Chennai,Adyar,14756.0,51926364,68,9.75
2018-05-19,Pune,Kharadi,8277.0,34059855,46,1.19
2018-05-20,Hyderabad,Jubilee Hills,13287.0,62502048,72,10.15
2018-05-21,Pune,Kharadi,11784.0,24381096,84,8.1
2018-05-22,Pune,Kharadi,6752.0,9716128,73,14.12
2018-05-23,Pune,Hinjewadi,8171.0,6365209,47,-0.75
2018-05-24,Bengaluru,Electronic City,11275.0,55360250,51,8.55
2018-05-25,Pune,Hinjewadi,12655.0,43735680,76,5.96
2018-05-26,Mumbai,Powai,8467.0,14343098,46,12.83
2018-05-27,Bengaluru,HSR Layout,9595.0,10458550,82,3.49
2018-05-28,Bengaluru,Whitefield,11299.0,47591388,56,10.35
2018-05-29,Bengaluru,Electronic City,9848.0,33433960,41,10.89
2018-05-30,Pune,Wakad,7222.0,33300642,86,0.32
2018-05-31,Chennai,OMR,13990.0,62717170,89,6.4
2018-06-01,Chennai,OMR,9393.0,36632700,62,7.16
2018-06-02,Mumbai,Powai,11424.0,34648992,81,11.76
2018-06-03,Hyderabad,Miyapur,4985.0,7966030,94,13.66
2018-06-04,Bengaluru,Electronic City,7474.0,27549164,83,12.69
2018-06-05,Bengaluru,Whitefield,8297.0,21265211,96,14.9
2018-06-06,Chennai,Anna Nagar,4064.0,4974336,94,13.02
2018-06-07,Chennai,OMR,4154.0,5869602,66,3.77
2018-06-08,Hyderabad,Madhapur,7795.0,36129825,71,14.5
2018-06-09,Pune,Hinjewadi,12130.0,58721330,56,2.57
2018-06-10,Chennai,OMR,14700.0,46569600,67,3.41
2018-06-11,Hyderabad,Madhapur,14009.0,64497436,98,10.18
2018-06-12,Pune,Hinjewadi,12357.0,54098946,73,2.53
2018-06-13,Chennai,Adyar,13658.0,45726984,92,4.22
2018-06-14,Hyderabad,Kondapur,11013.0,39900099,73,3.14
2018-06-15,Mumbai,Bandra,4096.0,19406848,41,7.46
2018-06-16,Chennai,Anna Nagar,11177.0,27730137,79,11.28
2018-06-17,Mumbai,Thane,7909.0,20587127,95,-0.8
2018-06-18,Hyderabad,Gachibowli,11145.0,47800905,92,-1.84
2018-06-19,Chennai,Adyar,5475.0,23361825,76,5.72
2018-06-20,Pune,Kharadi,14264.0,54673912,64,2.34
2018-06-21,Bengaluru,Indiranagar,8212.0,33439264,77,0.4
2018-06-22,Hyderabad,Kukatpally,8481.0,26715150,99,10.37
2018-06-23,Bengaluru,Whitefield,4232.0,19348704,58,11.63
2018-06-24,Hyderabad,Gachibowli,14795.0,57656115,48,-1.29
2018-06-25,Chennai,Anna Nagar,6488.0,32407560,58,1.8
2018-06-26,Chennai,Adyar,9764.0,14021104,96,13.81
2018-06-27,Hyderabad,Madhapur,8442.0,13878648,40,3.85
2018-06-28,Bengaluru,Electronic City,5796.0,20181672,90,0.74
2018-06-29,Bengaluru,Indiranagar,10139.0,34371210,59,0.53
2018-06-30,Hyderabad,Kondapur,6687.0,28968084,48,13.44
2018-07-01,Pune,Kharadi,6806.0,16184668,76,13.14
2018-07-02,Pune,Hinjewadi,13816.0,34719608,69,8.06
2018-07-03,Bengaluru,HSR Layout,6299.0,10947662,71,6.93
2018-07-04,Chennai,Adyar,13548.0,17016288,87,5.92
2018-07-05,Hyderabad,Gachibowli,7933.0,20340212,90,8.65
2018-07-06,Chennai,Adyar,8922.0,26730312,69,0.48
2018-07-07,Chennai,Anna Nagar,7068.0,8622960,92,13.24
2018-07-08,Pune,Baner,9218.0,27902886,46,14.07
2018-07-09,Pune,Baner,14916.0,23955096,85,8.74
2018-07-10,Hyderabad,Gachibowli,10179.0,15014025,48,-1.88
2018-07-11,Pune,Wakad,12917.0,32034160,85,4.12
2018-07-12,Bengaluru,HSR Layout,6656.0,31462912,51,2.63
2018-07-13,Chennai,Adyar,11742.0,36611556,42,0.59
2018-07-14,Chennai,Adyar,14325.0,69275700,55,13.06
2018-07-15,Bengaluru,Whitefield,9599.0,36552992,87,6.86
2018-07-16,Hyderabad,Banjara Hills,11086.0,26927894,55,6.51
2018-07-17,Mumbai,Andheri,13909.0,14618359,96,11.64
2018-07-18,Bengaluru,Whitefield,11321.0,48102929,70,1.82
2018-07-19,Chennai,OMR,4464.0,10383264,65,4.64
2018-07-20,Chennai,OMR,6191.0,27327074,50,2.8
2018-07-21,Bengaluru,Electronic City,8853.0,19016244,86,10.71
2018-07-22,Chennai,Anna Nagar,6870.0,9356940,63,11.22
2018-07-23,Bengaluru,Whitefield,8116.0,39175932,67,11.17
2018-07-24,Pune,Baner,5409.0,3926934,89,8.87
2018-07-25,Pune,Kharadi,11477.0,24526349,95,6.0
2018-07-26,Bengaluru,Whitefield,10253.0,46948487,80,10.55
2018-07-27,Bengaluru,HSR Layout,14463.0,12467106,88,14.54
2018-07-28,Pune,Baner,4486.0,2323748,69,4.75
2018-07-29,Mumbai,Bandra,11029.0,16543500,55,12.45
2018-07-30,Mumbai,Andheri,5291.0,10968243,81,1.58
2018-07-31,Hyderabad,Madhapur,8185.0,23761055,68,0.77
2018-08-01,Chennai,Velachery,9385.0,46512060,92,12.47
2018-08-02,Bengaluru,HSR Layout,14648.0,71028152,88,13.41
2018-08-03,Bengaluru,Electronic City,9599.0,35535498,87,8.05
2018-08-04,Pune,Hinjewadi,5220.0,5747220,59,4.71
2018-08-05,Hyderabad,Kukatpally,7422.0,17463966,90,9.21
2018-08-06,Hyderabad,Kukatpally,13332.0,34396560,74,10.28
2018-08-07,Hyderabad,Banjara Hills,8674.0,21979916,55,8.9
2018-08-08,Bengaluru,Electronic City,11181.0,8273940,98,1.92
2018-08-09,Bengaluru,Electronic City,12344.0,11961336,73,0.9
2018-08-10,Mumbai,Bandra,14338.0,15900842,51,6.66
2018-08-11,Mumbai,Bandra,10346.0,36055810,69,13.33
2018-08-12,Bengaluru,Electronic City,7266.0,22321152,63,6.7
2018-08-13,Mumbai,Andheri,4520.0,10635560,78,11.8
2018-08-14,Hyderabad,Kondapur,6245.0,24405460,45,7.96
2018-08-15,Mumbai,Powai,5705.0,5260010,64,12.43
2018-08-16,Chennai,Velachery,13702.0,55780842,73,2.38
2018-08-17,Hyderabad,Kukatpally,14608.0,64187552,66,4.82
2018-08-18,Bengaluru,HSR Layout,5852.0,13225520,69,14.02
2018-08-19,Hyderabad,Jubilee Hills,10057.0,18283626,89,1.34
2018-08-20,Pune,Hinjewadi,13756.0,29217744,84,2.23
2018-08-21,Hyderabad,Madhapur,9494.0,16301198,56,0.76
2018-08-22,Chennai,Anna Nagar,6311.0,29093710,85,-1.72
2018-08-23,Mumbai,Thane,5528.0,13234032,46,12.28
2018-08-24,Hyderabad,Gachibowli,7620.0,18089880,97,2.43
2018-08-25,Chennai,Adyar,9019.0,27814596,51,13.84
2018-08-26,Pune,Wakad,9091.0,40027673,91,9.37
2018-08-27,Mumbai,Andheri,11466.0,10525788,42,3.1
2018-08-28,Hyderabad,Jubilee Hills,8719.0,8012761,93,4.91
2018-08-29,Mumbai,Powai,10335.0,12929085,90,0.2
2018-08-30,Pune,Baner,9263.0,15895308,95,1.94
2018-08-31,Chennai,Anna Nagar,10138.0,35442448,88,8.81
2018-09-01,Chennai,Anna Nagar,9031.0,32674158,96,11.16
2018-09-02,Mumbai,Bandra,8085.0,26583480,44,6.46
2018-09-03,Chennai,Adyar,9104.0,28304336,96,14.25
2018-09-04,Hyderabad,Jubilee Hills,13680.0,10738800,90,10.66
2018-09-05,Mumbai,Bandra,10829.0,39168493,40,9.36
2018-09-06,Pune,Hinjewadi,4908.0,16996404,49,8.73
2018-09-07,Mumbai,Powai,9573.0,12023688,78,0.97
2018-09-08,Chennai,Adyar,12001.0,56224685,80,1.68
2018-09-09,Chennai,Adyar,6653.0,19845899,66,6.16
2018-09-10,Pune,Kharadi,7816.0,35930152,62,9.98
2018-09-11,Mumbai,Andheri,11087.0,51754116,90,3.55
2018-09-12,Bengaluru,Electronic City,4438.0,6412910,75,7.04
2018-09-13,Pune,Wakad,10352.0,6594224,100,9.73
2018-09-14,Chennai,Velachery,11153.0,25607288,87,6.45
2018-09-15,Hyderabad,Madhapur,4357.0,6609569,78,4.08
2018-09-16,Bengaluru,Indiranagar,6712.0,4698400,97,-1.43
2018-09-17,Chennai,Adyar,4788.0,22450932,81,-1.92
2018-09-18,Mumbai,Andheri,14079.0,62341812,77,9.7
2018-09-19,Mumbai,Andheri,4760.0,5612040,77,11.21
2018-09-20,Chennai,OMR,5598.0,23382846,53,13.64
2018-09-21,Mumbai,Powai,8836.0,7766844,68,6.12
2018-09-22,Hyderabad,Jubilee Hills,13973.0,40284159,50,13.41
2018-09-23,Pune,Wakad,12731.0,12934696,43,10.66
2018-09-24,Bengaluru,Whitefield,6748.0,20966036,71,10.95
2018-09-25,Bengaluru,Indiranagar,10308.0,29017020,80,4.28
2018-09-26,Bengaluru,Electronic City,7119.0,14536998,44,1.5
2018-09-27,Bengaluru,Whitefield,10988.0,29480804,74,12.01
2018-09-28,Chennai,Anna Nagar,4440.0,16188240,95,9.25
2018-09-29,Pune,Kharadi,8179.0,28135760,59,6.55
2018-09-30,Hyderabad,Madhapur,7878.0,31212636,61,6.1
2018-10-01,Hyderabad,Miyapur,5138.0,10183516,72,11.24
2018-10-02,Hyderabad,Jubilee Hills,6719.0,31619614,43,-0.26
2018-10-03,Mumbai,Powai,4058.0,10011086,63,3.69
2018-10-04,Mumbai,Powai,5154.0,9148350,56,1.3
2018-10-05,Mumbai,Bandra,11924.0,19758068,90,11.61
2018-10-06,Chennai,Velachery,8537.0,29913648,95,2.0
2018-10-07,Bengaluru,Whitefield,9793.0,17167129,52,3.29
2018-10-08,Pune,Kharadi,6108.0,16931376,85,5.58
2018-10-09,Chennai,Adyar,11906.0,9048560,63,10.47
2018-10-10,Hyderabad,Kondapur,4530.0,15646620,86,11.53
2018-10-11,Bengaluru,Electronic City,8727.0,34393107,94,2.17
2018-10-12,Chennai,OMR,11201.0,15815812,87,4.32
2018-10-13,Pune,Kharadi,7279.0,21152774,47,-1.38
2018-10-14,Mumbai,Andheri,4252.0,16629572,64,8.77
2018-10-15,Hyderabad,Gachibowli,7732.0,27951180,88,10.8
2018-10-16,Hyderabad,Madhapur,11087.0,39048414,73,6.39
2018-10-17,Chennai,Anna Nagar,14127.0,39922902,61,0.74
2018-10-18,Pune,Baner,8233.0,28436782,54,13.09
2018-10-19,Pune,Kharadi,7051.0,7417652,75,7.08
2018-10-20,Pune,Kharadi,13284.0,54796500,79,8.62
2018-10-21,Hyderabad,Gachibowli,5424.0,12919968,78,-1.56
2018-10-22,Bengaluru,Electronic City,5431.0,15114473,86,2.87
2018-10-23,Bengaluru,Indiranagar,10171.0,50305766,48,9.82
2018-10-24,Mumbai,Andheri,4435.0,20427610,98,9.19
2018-10-25,Pune,Kharadi,9788.0,20750560,64,8.09
2018-10-26,Pune,Kharadi,5566.0,10530872,66,0.93
2018-10-27,Pune,Kharadi,13607.0,24764740,81,7.69
2018-10-28,Chennai,Anna Nagar,5068.0,6862072,43,12.26
2018-10-29,Chennai,Adyar,4002.0,7979988,47,3.6
2018-10-30,Hyderabad,Kondapur,14672.0,53992960,68,9.51
2018-10-31,Bengaluru,Whitefield,13417.0,30416339,80,6.3
2018-11-01,Bengaluru,HSR Layout,14777.0,54970440,82,-0.66
2018-11-02,Hyderabad,Kondapur,6943.0,4901758,68,4.51
2018-11-03,Mumbai,Thane,8567.0,40710384,79,2.69
2018-11-04,Bengaluru,Whitefield,5339.0,3395604,99,11.6
2018-11-05,Hyderabad,Gachibowli,12253.0,8834413,58,11.96
2018-11-06,Hyderabad,Miyapur,13791.0,53012604,83,6.45
2018-11-07,Pune,Wakad,5542.0,25881140,86,3.24
2018-11-08,Chennai,Velachery,14611.0,23450655,84,8.48
2018-11-09,Bengaluru,Indiranagar,4706.0,22729980,75,10.59
2018-11-10,Bengaluru,Electronic City,5336.0,23019504,78,4.26
2018-11-11,Pune,Kharadi,5678.0,25091082,53,4.71
2018-11-12,Mumbai,Powai,10605.0,13457745,55,5.62
2018-11-13,Pune,Baner,6529.0,11092771,90,11.25
2018-11-14,Pune,Wakad,4624.0,21510848,68,5.85
2018-11-15,Bengaluru,HSR Layout,12077.0,19456047,93,0.95
2018-11-16,Mumbai,Thane,10777.0,49897510,71,5.07
2018-11-17,Mumbai,Bandra,4197.0,9711858,64,7.87
2018-11-18,Pune,Baner,5604.0,7559796,95,11.04
2018-11-19,Mumbai,Bandra,11676.0,39441528,98,13.08
2018-11-20,Pune,Hinjewadi,6421.0,18434691,91,2.46
2018-11-21,Hyderabad,Madhapur,10319.0,42297581,90,6.38
2018-11-22,Chennai,Anna Nagar,10221.0,11059122,71,11.95
2018-11-23,Chennai,OMR,14383.0,28622170,83,0.47
2018-11-24,Chennai,Velachery,5996.0,14894064,83,5.93
2018-11-25,Bengaluru,HSR Layout,5496.0,6051096,68,-0.02
2018-11-26,Pune,Wakad,5097.0,7859574,95,12.88
2018-11-27,Mumbai,Andheri,10472.0,47647600,93,12.27
2018-11-28,Mumbai,Bandra,12437.0,37559740,51,13.66
2018-11-29,Chennai,Velachery,11675.0,46676650,63,7.8
2018-11-30,Pune,Hinjewadi,14832.0,61745616,71,10.43
2018-12-01,Hyderabad,Kondapur,7530.0,22145730,44,0.94
2018-12-02,Chennai,Anna Nagar,13065.0,13692120,65,8.63
2018-12-03,Mumbai,Andheri,14715.0,23529285,55,8.86
2018-12-04,Hyderabad,Kukatpally,8940.0,36028200,88,6.12
2018-12-05,Pune,Baner,7411.0,22825880,70,11.22
2018-12-06,Bengaluru,Electronic City,13795.0,67360985,98,10.4
2018-12-07,Hyderabad,Kondapur,10774.0,27602988,54,3.61
2018-12-08,Chennai,Anna Nagar,8461.0,5169671,45,7.83
2018-12-09,Hyderabad,Kondapur,8295.0,32732070,55,13.73
2018-12-10,Mumbai,Andheri,14899.0,68267218,42,-0.55
2018-12-11,Hyderabad,Miyapur,6073.0,10427341,53,14.28
2018-12-12,Hyderabad,Jubilee Hills,13843.0,59123453,63,9.64
2018-12-13,Mumbai,Thane,8934.0,24237942,77,5.23
2018-12-14,Mumbai,Thane,4478.0,11521894,55,0.49
2018-12-15,Mumbai,Powai,12165.0,56506425,49,11.22
2018-12-16,Mumbai,Andheri,12763.0,16617426,54,0.11
2018-12-17,Bengaluru,Indiranagar,6346.0,18847620,97,0.01
2018-12-18,Pune,Kharadi,13646.0,12131294,66,-0.86
2018-12-19,Chennai,Anna Nagar,4277.0,5303480,55,7.61
2018-12-20,Bengaluru,HSR Layout,11694.0,48787368,85,11.35
2018-12-21,Pune,Baner,13643.0,21378581,97,3.52
2018-12-22,Hyderabad,Kondapur,8102.0,5306810,50,12.68
2018-12-23,Chennai,Adyar,8292.0,14743176,61,0.95
2018-12-24,Mumbai,Andheri,9464.0,18398016,73,8.15
2018-12-25,Mumbai,Bandra,5497.0,5848808,83,11.44
2018-12-26,Pune,Hinjewadi,7967.0,32027340,65,9.1
2018-12-27,Pune,Wakad,8464.0,23783840,67,3.78
2018-12-28,Hyderabad,Miyapur,7961.0,15332886,63,12.12
2018-12-29,Bengaluru,Electronic City,12298.0,35799478,51,0.27
2018-12-30,Chennai,Velachery,5439.0,20706273,76,12.75
2018-12-31,Mumbai,Powai,5653.0,27750577,88,2.65
2019-01-01,Hyderabad,Kondapur,12409.0,37115319,75,7.44
2019-01-02,Hyderabad,Jubilee Hills,4642.0,9738916,45,0.27
2019-01-03,Hyderabad,Madhapur,4174.0,3852602,87,7.79
2019-01-04,Mumbai,Powai,6069.0,21120120,71,7.38
2019-01-05,Chennai,OMR,6017.0,27329214,45,5.56
2019-01-06,Bengaluru,Indiranagar,6026.0,6725016,61,-1.6
2019-01-07,Pune,Baner,14339.0,42386084,60,1.16
2019-01-08,Pune,Hinjewadi,13535.0,43217255,51,11.44
2019-01-09,Bengaluru,Whitefield,7533.0,3894561,84,7.53
2019-01-10,Hyderabad,Kondapur,8838.0,34565418,74,9.84
2019-01-11,Bengaluru,Electronic City,11770.0,55872190,74,12.57
2019-01-12,Chennai,Adyar,5513.0,11450501,51,10.15
2019-01-13,Bengaluru,Whitefield,5229.0,21935655,67,3.37
2019-01-14,Bengaluru,Whitefield,13193.0,17045356,88,5.01
2019-01-15,Chennai,OMR,10102.0,18264416,100,6.41
2019-01-16,Hyderabad,Gachibowli,11806.0,35512448,67,1.19
2019-01-17,Chennai,Velachery,7307.0,36089273,79,10.02
2019-01-18,Hyderabad,Jubilee Hills,13631.0,57222938,61,13.15
2019-01-19,Mumbai,Powai,4219.0,6282091,40,9.7
2019-01-20,Hyderabad,Gachibowli,7707.0,14974701,92,6.43
2019-01-21,Mumbai,Bandra,9551.0,28968183,59,7.2
2019-01-22,Pune,Kharadi,7917.0,31248399,69,-1.0
2019-01-23,Pune,Wakad,6075.0,3067875,56,4.22
2019-01-24,Chennai,Anna Nagar,6407.0,20348632,69,9.17
2019-01-25,Chennai,Velachery,14296.0,70522168,44,13.07
2019-01-26,Mumbai,Andheri,10637.0,22507892,51,0.77
2019-01-27,Bengaluru,Indiranagar,7388.0,36053440,82,-0.51
2019-01-28,Pune,Hinjewadi,7937.0,10794320,93,9.78
2019-01-29,Pune,Baner,11056.0,45329600,59,14.82
2019-01-30,Hyderabad,Jubilee Hills,12723.0,55357773,68,14.5
2019-01-31,Hyderabad,Jubilee Hills,8608.0,10364032,49,0.26
2019-02-01,Mumbai,Powai,4589.0,11155859,58,4.39
2019-02-02,Chennai,Velachery,5893.0,26447784,62,6.37
2019-02-03,Mumbai,Bandra,7300.0,6628400,65,2.48
2019-02-04,Hyderabad,Kondapur,14558.0,26917742,90,7.14
2019-02-05,Mumbai,Bandra,6270.0,16314540,73,4.44
2019-02-06,Hyderabad,Gachibowli,6625.0,7817500,89,4.61
2019-02-07,Mumbai,Thane,9367.0,29805794,75,14.46
2019-02-08,Bengaluru,HSR Layout,6197.0,3333986,53,12.73
2019-02-09,Bengaluru,HSR Layout,12474.0,49284774,56,10.45
2019-02-10,Bengaluru,Whitefield,10037.0,42125289,77,6.05
2019-02-11,Mumbai,Powai,8194.0,23475810,48,12.23
2019-02-12,Chennai,Anna Nagar,8883.0,36562428,53,6.77
2019-02-13,Mumbai,Powai,8608.0,40793312,79,-1.67
2019-02-14,Mumbai,Powai,4586.0,21091014,97,-0.48
2019-02-15,Chennai,Velachery,9883.0,19706702,97,5.88
2019-02-16,Pune,Baner,5331.0,18391950,54,5.82
