Listing_ID,City,Locality,Price_INR,Area_sqft,BHK,Posted_Date,Status
70,Pune,Kharadi,41520030,3607,2,2026-05-11,Sold
71,Bengaluru,HSR Layout,37877709,2691,3,2026-06-06,Pending
72,Mumbai,Bandra,15630945,1715,3,2026-04-12,Available
73,Pune,Baner,6064382,545,2,2026-04-20,Pending
74,Bengaluru,Electronic City,45429763,3969,4,2026-06-19,Pending
75,Mumbai,Bandra,18501091,4397,5,2026-04-22,Sold
76,Hyderabad,Gachibowli,56498847,3929,4,2026-05-11,Available
77,Bengaluru,Indiranagar,22987831,2351,2,2026-06-05,Pending
78,Mumbai,Powai,22768074,2803,3,2026-07-02,Available
79,Pune,Hinjewadi,3013667,594,2,2026-05-19,Pending
80,Chennai,Velachery,57389387,4550,2,2026-05-09,Sold
81,Pune,Hinjewadi,20712101,1813,3,2026-07-07,Pending
82,Mumbai,Thane,12556007,1683,1,2026-06-03,Sold
83,Chennai,Anna Nagar,35866786,3409,4,2026-07-04,Sold
84,Chennai,OMR,3585120,550,1,2026-06-12,Available
85,Hyderabad,Kukatpally,13984617,1324,1,2026-04-18,Pending
86,Hyderabad,Banjara Hills,42464180,3949,5,2026-06-12,Available
87,Hyderabad,Banjara Hills,7121002,1222,2,2026-06-29,Sold
88,Chennai,OMR,3424277,761,1,2026-05-30,Sold
89,Hyderabad,Kondapur,21969540,1843,4,2026-04-23,Pending
90,Mumbai,Bandra,36023057,3585,4,2026-06-03,Available
91,Pune,Baner,17951255,3341,5,2026-06-07,Pending
92,Chennai,OMR,32592619,2407,4,2026-05-24,Pending
93,Bengaluru,Whitefield,25747830,4540,3,2026-07-05,Available
94,Mumbai,Powai,58402857,4160,5,2026-04-10,Sold
95,Hyderabad,Jubilee Hills,11433737,1236,3,2026-05-25,Available
96,Pune,Baner,6270938,956,1,2026-05-23,Sold
97,Mumbai,Bandra,19943493,1672,1,2026-06-27,Sold
98,Bengaluru,Indiranagar,9549694,1447,3,2026-05-18,Available
99,Chennai,Velachery,15755311,2635,4,2026-06-03,Available
100,Chennai,Velachery,26031592,2450,1,2026-06-22,Sold
101,Hyderabad,Kukatpally,31106777,2288,3,2026-06-04,Available
102,Bengaluru,Electronic City,11448464,2157,1,2026-06-22,Pending
103,Chennai,OMR,24850682,1839,3,2026-05-22,Pending
104,Mumbai,Thane,59274223,4705,1,2026-07-07,Available
105,Pune,Baner,53668661,4783,2,2026-06-24,Available
106,Bengaluru,HSR Layout,28284200,4285,4,2026-05-24,Sold
107,Pune,Wakad,18085194,3781,5,2026-05-29,Sold
108,Mumbai,Thane,20233502,4216,1,2026-07-08,Sold
109,Bengaluru,Whitefield,12352946,994,5,2026-06-28,Pending
110,Pune,Kharadi,47519279,3667,2,2026-05-05,Pending
111,Bengaluru,Electronic City,26294110,3166,4,2026-05-04,Sold
112,Bengaluru,HSR Layout,58273382,3914,3,2026-05-18,Available
113,Mumbai,Thane,15458256,1725,4,2026-04-24,Sold
114,Mumbai,Thane,29042345,4137,3,2026-05-29,Available
115,Mumbai,Andheri,62272635,4894,3,2026-04-14,Available
116,Mumbai,Bandra,25013920,2041,4,2026-06-17,Available
117,Mumbai,Bandra,58935664,4793,3,2026-04-12,Sold
118,Hyderabad,Kondapur,51458764,3756,1,2026-04-23,Available
119,Hyderabad,Gachibowli,14104553,1123,2,2026-05-25,Sold
120,Pune,Hinjewadi,38014750,3358,2,2026-04-25,Available
121,Chennai,Adyar,13102211,2564,4,2026-06-28,Available
122,Chennai,Adyar,33431223,3473,1,2026-06-03,Sold
123,Chennai,Velachery,13636143,2480,2,2026-05-19,Sold
124,Bengaluru,Indiranagar,21394514,1572,3,2026-04-14,Pending
125,Mumbai,Powai,7423643,1688,3,2026-05-06,Sold
126,Chennai,Velachery,37408431,3768,3,2026-07-06,Pending
127,Hyderabad,Madhapur,24658979,2887,1,2026-07-04,Pending
128,Mumbai,Andheri,39699424,4062,5,2026-06-28,Sold
129,Mumbai,Thane,47643803,3287,5,2026-06-06,Available
130,Pune,Wakad,17185240,2545,1,2026-04-10,Available
131,Chennai,Anna Nagar,22044242,1592,2,2026-06-13,Available
132,Hyderabad,Kondapur,17019692,2989,2,2026-07-04,Available
133,Pune,Wakad,15486823,1391,4,2026-04-17,Available
134,Mumbai,Bandra,20861964,2927,3,2026-05-30,Available
135,Chennai,Velachery,5263092,972,1,2026-06-21,Pending
136,Mumbai,Powai,10186595,827,4,2026-05-27,Available
137,Bengaluru,Indiranagar,32725446,2922,1,2026-05-19,Pending
138,Chennai,Adyar,51734473,3519,4,2026-04-16,Pending
139,Pune,Kharadi,34087377,4115,4,2026-04-10,Sold
140,Hyderabad,Jubilee Hills,62242409,4704,5,2026-04-20,Pending
141,Pune,Kharadi,24328069,2069,5,2026-05-12,Sold
142,Pune,Kharadi,10241610,1439,3,2026-07-04,Pending
143,Pune,Hinjewadi,6407158,779,2,2026-06-16,Available
144,Bengaluru,Electronic City,55683517,4910,3,2026-05-10,Available
145,Pune,Hinjewadi,43977405,3456,3,2026-05-30,Available
146,Mumbai,Powai,14737013,1694,2,2026-04-19,Pending
147,Bengaluru,HSR Layout,10968257,1090,3,2026-05-06,Sold
148,Bengaluru,Whitefield,48247485,4212,4,2026-04-16,Sold
149,Bengaluru,Electronic City,33496103,3395,4,2026-06-09,Pending
150,Pune,Wakad,33195277,4611,1,2026-06-05,Pending
151,Chennai,OMR,63055102,4483,4,2026-06-07,Sold
152,Chennai,OMR,37296608,3900,5,2026-06-20,Pending
153,Mumbai,Powai,34909207,3033,5,2026-06-20,Pending
154,Hyderabad,Miyapur,7805936,1598,1,2026-05-03,Available
155,Bengaluru,Electronic City,27174962,3686,4,2026-06-10,Pending
156,Bengaluru,Whitefield,21219473,2563,1,2026-04-28,Available
157,Chennai,Anna Nagar,5230074,1224,3,2026-07-04,Sold
158,Chennai,OMR,6201490,1413,2,2026-05-28,Available
159,Hyderabad,Madhapur,36731701,4635,5,2026-05-16,Available
160,Pune,Hinjewadi,58311911,4841,3,2026-06-14,Pending
161,Chennai,OMR,46948619,3168,1,2026-05-21,Available
162,Hyderabad,Madhapur,64848500,4604,3,2026-04-12,Pending
163,Pune,Hinjewadi,54274515,4378,4,2026-06-30,Pending
164,Chennai,Adyar,45588432,3348,5,2026-06-20,Pending
165,Hyderabad,Kondapur,39584648,3623,3,2026-06-04,Sold
166,Mumbai,Bandra,18908542,4738,2,2026-04-27,Sold
167,Chennai,Anna Nagar,27322202,2481,3,2026-05-14,Sold
168,Mumbai,Thane,21021446,2603,3,2026-05-22,Sold
169,Hyderabad,Gachibowli,47788315,4289,4,2026-06-14,Sold
170,Chennai,Adyar,23280911,4267,1,2026-05-28,Sold
171,Pune,Kharadi,54800491,3833,1,2026-04-29,Sold
172,Bengaluru,Indiranagar,33655976,4072,5,2026-06-14,Sold
173,Hyderabad,Kukatpally,26642675,3150,1,2026-06-13,Available
174,Bengaluru,Whitefield,19969522,4572,2,2026-06-19,Available
175,Hyderabad,Gachibowli,58092100,3897,2,2026-06-02,Available
176,Chennai,Anna Nagar,33052017,4995,2,2026-04-12,Available
177,Chennai,Adyar,13716121,1436,1,2026-06-14,Sold
178,Hyderabad,Madhapur,13697865,1644,4,2026-04-16,Sold
179,Bengaluru,Electronic City,20506404,3482,2,2026-05-11,Available
180,Bengaluru,Indiranagar,34068369,3390,1,2026-06-26,Available
181,Hyderabad,Kondapur,29589629,4332,2,2026-05-06,Available
182,Pune,Kharadi,15861512,2378,1,2026-04-16,Pending
183,Pune,Hinjewadi,34602975,2513,1,2026-07-08,Sold
184,Bengaluru,HSR Layout,11139725,1738,3,2026-07-01,Pending
185,Chennai,Adyar,16861740,1256,3,2026-05-15,Sold
186,Hyderabad,Gachibowli,20558799,2564,2,2026-05-22,Sold
187,Chennai,Adyar,27374107,2996,1,2026-06-12,Available
188,Chennai,Anna Nagar,8940156,1220,3,2026-06-05,Sold
189,Pune,Baner,28356189,3027,4,2026-04-28,Pending
190,Pune,Baner,24243338,1606,3,2026-05-04,Pending
191,Hyderabad,Gachibowli,15083309,1475,5,2026-06-21,Available
192,Pune,Wakad,32116078,2480,3,2026-05-29,Available
193,Bengaluru,HSR Layout,31958501,4727,1,2026-06-14,Pending
194,Chennai,Adyar,37234956,3118,4,2026-05-10,Pending
195,Chennai,Adyar,69926081,4836,3,2026-06-27,Pending
196,Bengaluru,Whitefield,36658529,3808,4,2026-06-22,Available
197,Hyderabad,Banjara Hills,27020559,2429,5,2026-07-05,Pending
198,Mumbai,Andheri,14872737,1051,5,2026-07-07,Pending
199,Bengaluru,Whitefield,48316172,4249,2,2026-05-28,Pending
200,Chennai,OMR,10741057,2326,2,2026-06-11,Pending
201,Chennai,OMR,27234357,4414,5,2026-06-30,Pending
202,Bengaluru,Electronic City,19643958,2148,5,2026-06-06,Pending
203,Chennai,Anna Nagar,9845248,1362,1,2026-05-08,Available
204,Bengaluru,Whitefield,39481556,4827,5,2026-06-19,Sold
205,Pune,Baner,3858360,726,1,2026-07-09,Available
206,Pune,Kharadi,24865662,2137,4,2026-04-17,Pending
207,Bengaluru,Whitefield,46528788,4579,5,2026-06-08,Available
208,Bengaluru,HSR Layout,12169638,862,5,2026-06-16,Available
209,Pune,Baner,1839753,518,1,2026-04-29,Pending
210,Mumbai,Bandra,16256185,1500,2,2026-06-28,Sold
211,Mumbai,Andheri,10635616,2073,1,2026-07-07,Available
212,Hyderabad,Madhapur,24253665,2903,4,2026-04-21,Sold
213,Chennai,Velachery,46903351,4956,3,2026-04-20,Sold
214,Bengaluru,HSR Layout,70556740,4849,1,2026-06-06,Sold
215,Bengaluru,Electronic City,35181057,3702,2,2026-04-24,Available
216,Pune,Hinjewadi,5610485,1101,3,2026-05-14,Pending
217,Hyderabad,Kukatpally,17618217,2353,1,2026-04-16,Sold
218,Hyderabad,Kukatpally,34186721,2580,1,2026-05-23,Pending
219,Hyderabad,Banjara Hills,22469331,2534,2,2026-06-06,Available
220,Bengaluru,Electronic City,8697244,740,4,2026-07-02,Available
221,Bengaluru,Electronic City,12124606,969,1,2026-06-12,Available
222,Mumbai,Bandra,16480159,1109,4,2026-07-06,Pending
223,Mumbai,Bandra,35727706,3485,2,2026-05-13,Available
224,Bengaluru,Electronic City,22853167,3072,5,2026-04-14,Available
225,Mumbai,Andheri,11088002,2353,3,2026-05-10,Pending
226,Hyderabad,Kondapur,24854250,3908,2,2026-05-18,Sold
227,Mumbai,Powai,5835435,922,4,2026-04-26,Available
228,Chennai,Velachery,55434825,4071,1,2026-04-11,Pending
229,Hyderabad,Kukatpally,63968421,4394,3,2026-06-10,Sold
230,Bengaluru,HSR Layout,13864115,2260,3,2026-05-25,Sold
231,Hyderabad,Jubilee Hills,18414546,1818,4,2026-04-17,Sold
232,Pune,Hinjewadi,29081781,2124,1,2026-06-10,Available
233,Hyderabad,Madhapur,15992868,1717,4,2026-07-01,Pending
234,Chennai,Anna Nagar,29246720,4610,4,2026-06-30,Sold
235,Mumbai,Thane,13693090,2394,5,2026-06-09,Sold
236,Hyderabad,Gachibowli,17919858,2374,1,2026-07-02,Available
237,Chennai,Adyar,27828759,3084,5,2026-05-11,Available
238,Pune,Wakad,39992990,4403,5,2026-05-13,Sold
239,Mumbai,Andheri,10169526,918,1,2026-04-16,Sold
240,Hyderabad,Jubilee Hills,8015353,919,1,2026-06-17,Sold
241,Mumbai,Powai,12835215,1251,3,2026-05-08,Available
242,Pune,Baner,16116322,1716,5,2026-07-08,Sold
243,Chennai,Anna Nagar,36131476,3496,3,2026-06-08,Pending
244,Chennai,Anna Nagar,33312066,3618,4,2026-04-17,Available
245,Mumbai,Bandra,26193664,3288,3,2026-06-14,Sold
246,Chennai,Adyar,28280581,3109,3,2026-06-13,Available
247,Hyderabad,Jubilee Hills,10451771,785,4,2026-06-11,Pending
248,Mumbai,Bandra,38968919,3617,1,2026-04-23,Sold
249,Pune,Hinjewadi,16560194,3463,1,2026-05-16,Available
250,Mumbai,Powai,11947306,1256,1,2026-04-26,Pending
251,Chennai,Adyar,56863479,4685,1,2026-05-27,Sold
252,Chennai,Adyar,20268280,2983,3,2026-04-25,Sold
253,Pune,Kharadi,36252059,4597,2,2026-04-18,Available
254,Mumbai,Andheri,52452486,4668,4,2026-04-14,Available
255,Bengaluru,Electronic City,6594692,1445,2,2026-04-19,Sold
256,Pune,Wakad,6139855,637,3,2026-06-30,Available
257,Chennai,Velachery,25916283,2296,1,2026-05-16,Available
258,Hyderabad,Madhapur,6524872,1517,1,2026-05-24,Available
259,Bengaluru,Indiranagar,5120263,700,2,2026-04-30,Pending
260,Chennai,Adyar,23030621,4689,2,2026-07-09,Sold
261,Mumbai,Andheri,62509279,4428,5,2026-04-18,Pending
262,Mumbai,Andheri,5327840,1179,4,2026-05-22,Sold
263,Chennai,OMR,23933141,4177,3,2026-05-03,Sold
264,Mumbai,Powai,7449061,879,2,2026-06-29,Available
265,Hyderabad,Jubilee Hills,40252088,2883,3,2026-05-10,Available
266,Pune,Wakad,12921304,1016,4,2026-04-17,Sold
267,Bengaluru,Whitefield,21154934,3107,4,2026-06-19,Sold
268,Bengaluru,Indiranagar,29276860,2815,3,2026-05-09,Pending
269,Bengaluru,Electronic City,15101226,2042,5,2026-04-16,Available
270,Bengaluru,Whitefield,29008210,2683,1,2026-04-27,Available
271,Chennai,Anna Nagar,15745388,3646,4,2026-07-03,Sold
272,Pune,Kharadi,27837230,3440,3,2026-04-29,Sold
273,Hyderabad,Madhapur,30799816,3962,2,2026-06-11,Pending
274,Hyderabad,Miyapur,10620734,1982,2,2026-06-08,Pending
275,Hyderabad,Jubilee Hills,31520715,4706,4,2026-05-05,Sold
276,Mumbai,Powai,10069378,2467,4,2026-04-16,Pending
277,Mumbai,Powai,9687719,1775,1,2026-04-28,Sold
278,Mumbai,Bandra,19494807,1657,1,2026-05-29,Available
279,Chennai,Velachery,29739496,3504,4,2026-04-16,Sold
280,Bengaluru,Whitefield,17095303,1753,1,2026-05-09,Pending
281,Pune,Kharadi,17217804,2772,5,2026-05-04,Sold
282,Chennai,Adyar,8983457,760,3,2026-06-10,Sold
283,Hyderabad,Kondapur,15536733,3454,4,2026-05-08,Available
284,Bengaluru,Electronic City,33970074,3941,4,2026-06-17,Available
285,Chennai,OMR,15989134,1412,3,2026-05-28,Available
286,Pune,Kharadi,21335050,2906,1,2026-05-04,Pending
287,Mumbai,Andheri,17219430,3911,3,2026-04-30,Sold
288,Hyderabad,Gachibowli,28374821,3615,4,2026-06-28,Sold
289,Hyderabad,Madhapur,39328162,3522,1,2026-06-02,Pending
290,Chennai,Anna Nagar,39470433,2826,1,2026-05-24,Available
291,Pune,Baner,28609422,3454,4,2026-04-13,Sold
292,Pune,Kharadi,7931372,1052,2,2026-04-22,Available
293,Pune,Kharadi,55370608,4125,3,2026-06-21,Sold
294,Hyderabad,Gachibowli,13125812,2382,4,2026-05-23,Available
295,Bengaluru,Electronic City,15260179,2783,3,2026-06-28,Pending
296,Bengaluru,Indiranagar,50636433,4946,4,2026-07-04,Available
297,Mumbai,Andheri,20779160,4606,4,2026-06-19,Pending
298,Pune,Kharadi,20707208,2120,2,2026-05-30,Sold
299,Pune,Kharadi,10343573,1892,3,2026-05-30,Available
300,Pune,Kharadi,25392808,1820,4,2026-05-15,Available
301,Chennai,Anna Nagar,6467959,1354,4,2026-06-14,Available
302,Chennai,Adyar,7706773,1994,3,2026-05-13,Pending
303,Hyderabad,Kondapur,54606240,3680,4,2026-05-10,Sold
304,Bengaluru,Whitefield,30247289,2267,4,2026-06-15,Sold
305,Bengaluru,HSR Layout,54560741,3720,1,2026-06-02,Sold
306,Hyderabad,Kondapur,5314692,706,3,2026-06-10,Sold
307,Mumbai,Thane,40530508,4752,5,2026-04-23,Pending
308,Bengaluru,Whitefield,3745121,636,4,2026-06-01,Pending
309,Hyderabad,Gachibowli,9208646,721,2,2026-05-14,Sold
310,Hyderabad,Miyapur,52904030,3844,3,2026-04-27,Sold
311,Pune,Wakad,25900047,4670,1,2026-05-18,Pending
312,Chennai,Velachery,23357463,1605,5,2026-05-19,Sold
313,Bengaluru,Indiranagar,22829287,4830,4,2026-05-19,Pending
314,Bengaluru,Electronic City,22905272,4314,1,2026-05-01,Pending
315,Pune,Kharadi,24616427,4419,3,2026-05-15,Available
316,Mumbai,Powai,13404295,1269,2,2026-07-02,Sold
317,Pune,Baner,11297108,1699,4,2026-04-24,Sold
318,Pune,Wakad,22199142,4652,1,2026-05-30,Available
319,Bengaluru,HSR Layout,19077394,1611,2,2026-06-17,Sold
320,Mumbai,Thane,49517613,4630,1,2026-04-18,Pending
321,Mumbai,Bandra,9238139,2314,3,2026-05-21,Pending
322,Pune,Baner,7697652,1349,4,2026-07-04,Pending
323,Mumbai,Bandra,39002624,3378,5,2026-05-15,Sold
324,Pune,Hinjewadi,18734161,2871,1,2026-06-11,Pending
325,Hyderabad,Madhapur,42053812,4099,5,2026-06-19,Available
326,Chennai,Anna Nagar,10812331,1082,2,2026-06-12,Available
327,Chennai,OMR,29310989,1990,4,2026-05-13,Sold
328,Chennai,Velachery,15527331,2484,1,2026-06-19,Sold
329,Bengaluru,HSR Layout,6383419,1101,1,2026-05-27,Available
330,Pune,Wakad,8367518,1542,4,2026-06-01,Sold
331,Mumbai,Andheri,47866837,4550,3,2026-05-22,Pending
332,Mumbai,Bandra,38108907,3020,4,2026-07-07,Sold
333,Chennai,Velachery,47129546,3998,1,2026-04-19,Sold
334,Pune,Hinjewadi,61323564,4163,4,2026-05-07,Pending
335,Hyderabad,Kondapur,22080098,2941,1,2026-04-12,Available
336,Chennai,Anna Nagar,13777599,1048,2,2026-05-23,Sold
337,Mumbai,Andheri,23239336,1599,5,2026-04-29,Sold
338,Hyderabad,Kukatpally,36274997,4030,3,2026-04-11,Sold
339,Pune,Baner,22869013,3080,4,2026-06-02,Pending
340,Bengaluru,Electronic City,67168745,4883,4,2026-06-17,Sold
341,Hyderabad,Kondapur,27776228,2562,5,2026-06-14,Sold
342,Chennai,Anna Nagar,5605381,611,5,2026-05-07,Sold
343,Hyderabad,Kondapur,32749853,3946,5,2026-07-05,Available
344,Mumbai,Andheri,68499688,4582,3,2026-06-24,Sold
345,Hyderabad,Miyapur,10648479,1717,4,2026-07-07,Sold
346,Hyderabad,Jubilee Hills,59484521,4271,2,2026-06-26,Pending
347,Mumbai,Thane,23871145,2713,3,2026-04-15,Available
348,Mumbai,Thane,11587366,2573,3,2026-06-23,Sold
349,Mumbai,Powai,56853597,4645,1,2026-06-23,Pending
350,Mumbai,Andheri,16994367,1302,5,2026-06-16,Available
351,Bengaluru,Indiranagar,18788370,2970,2,2026-05-14,Available
352,Pune,Kharadi,12134942,889,3,2026-04-29,Pending
353,Chennai,Anna Nagar,5120848,1240,4,2026-07-03,Pending
354,Bengaluru,HSR Layout,48591692,4172,3,2026-07-02,Sold
355,Pune,Baner,21800486,1567,1,2026-04-22,Available
356,Hyderabad,Kondapur,5930477,655,1,2026-04-21,Available
357,Chennai,Adyar,14882724,1778,3,2026-05-19,Sold
358,Mumbai,Andheri,18186129,1944,5,2026-06-17,Pending
359,Mumbai,Bandra,5462935,1064,3,2026-04-11,Pending
360,Pune,Hinjewadi,32274800,4020,2,2026-04-30,Sold
361,Pune,Wakad,23848219,2810,3,2026-06-08,Pending
362,Hyderabad,Miyapur,14871605,1926,1,2026-04-17,Sold
363,Bengaluru,Electronic City,35644894,2911,1,2026-05-13,Sold
364,Chennai,Velachery,21396216,3807,3,2026-06-07,Pending
365,Mumbai,Powai,27512662,4909,1,2026-05-23,Sold
366,Hyderabad,Kondapur,37375548,2991,3,2026-05-13,Sold
367,Hyderabad,Jubilee Hills,9761497,2098,4,2026-06-26,Pending
368,Hyderabad,Madhapur,4356984,923,2,2026-06-04,Available
369,Mumbai,Powai,21774110,3480,4,2026-06-20,Available
370,Chennai,OMR,27959680,4542,1,2026-04-29,Sold
371,Bengaluru,Indiranagar,6798939,1116,4,2026-06-03,Available
372,Pune,Baner,42949151,2956,5,2026-07-06,Pending
373,Pune,Hinjewadi,42765770,3193,1,2026-04-25,Available
374,Bengaluru,Whitefield,4150796,517,3,2026-06-30,Pending
375,Hyderabad,Kondapur,34796027,3911,1,2026-06-27,Available
376,Bengaluru,Electronic City,55492633,4747,3,2026-06-21,Sold
377,Chennai,Adyar,11007745,2077,1,2026-04-24,Sold
378,Bengaluru,Whitefield,22432160,4195,2,2026-06-19,Sold
379,Bengaluru,Whitefield,17536268,1292,4,2026-05-22,Pending
380,Chennai,OMR,18894544,1808,3,2026-04-17,Available
381,Hyderabad,Gachibowli,36115510,3008,1,2026-04-20,Available
382,Chennai,Velachery,35817994,4939,3,2026-07-06,Sold
383,Hyderabad,Jubilee Hills,56760757,4198,2,2026-07-01,Available
384,Mumbai,Powai,6870602,1489,3,2026-05-17,Pending
385,Hyderabad,Gachibowli,15112326,1943,2,2026-05-04,Available
386,Mumbai,Bandra,29488040,3033,1,2026-07-03,Pending
387,Pune,Kharadi,31382261,3947,4,2026-06-12,Pending
388,Pune,Wakad,2998242,505,5,2026-05-09,Available
389,Chennai,Anna Nagar,20864000,3176,3,2026-06-22,Available
390,Chennai,Velachery,70264431,4933,2,2026-06-18,Sold
391,Mumbai,Andheri,22590783,2116,3,2026-06-20,Pending
392,Bengaluru,Indiranagar,36012797,4880,2,2026-07-01,Pending
393,Pune,Hinjewadi,10634602,1360,3,2026-04-13,Pending
394,Pune,Baner,45746228,4100,2,2026-06-06,Pending
395,Hyderabad,Jubilee Hills,55860299,4351,2,2026-05-06,Sold
396,Hyderabad,Jubilee Hills,10296362,1204,3,2026-05-23,Available
397,Mumbai,Powai,11714404,2431,3,2026-05-23,Available
398,Chennai,Velachery,26418371,4488,5,2026-05-10,Available
399,Mumbai,Bandra,6620136,908,2,2026-05-05,Pending
400,Hyderabad,Kondapur,27065664,1849,2,2026-06-03,Available
401,Mumbai,Bandra,16195232,2602,1,2026-06-16,Available
402,Hyderabad,Gachibowli,8409875,1180,4,2026-05-25,Available
403,Mumbai,Thane,30003205,3182,1,2026-05-25,Available
404,Bengaluru,HSR Layout,3067520,538,5,2026-06-27,Sold
405,Bengaluru,HSR Layout,49578986,3951,5,2026-05-01,Sold
406,Bengaluru,Whitefield,41940665,4197,1,2026-07-07,Pending
407,Mumbai,Powai,23754396,2865,1,2026-06-08,Sold
408,Chennai,Anna Nagar,36128395,4116,3,2026-06-01,Pending
409,Mumbai,Powai,41441159,4739,3,2026-05-10,Sold
410,Mumbai,Powai,20936031,4599,1,2026-06-15,Pending
411,Chennai,Velachery,19303592,1994,5,2026-04-16,Pending
412,Pune,Baner,18469851,3450,4,2026-05-17,Sold
413,Chennai,Adyar,12782101,1046,3,2026-05-09,Pending
414,Mumbai,Bandra,18165916,3038,3,2026-07-04,Sold
415,Bengaluru,Electronic City,60730543,4093,1,2026-04-13,Sold
416,Hyderabad,Gachibowli,22523565,3431,1,2026-06-14,Available
417,Hyderabad,Kukatpally,21466880,2487,3,2026-05-01,Sold
418,Pune,Hinjewadi,32705510,4532,1,2026-06-19,Available
419,Pune,Baner,9721899,1961,3,2026-04-26,Available
