Place_ID,Category,Name,City,Locality,Latitude,Longitude,Distance_km,Rating
42,School,Park_42,Bengaluru,Electronic City,14.263164,77.898558,2.03,3.1
43,Hospital,College_43,Pune,Wakad,18.703827,76.935828,7.18,3.9
44,Bus Stop,Metro_44,Mumbai,Andheri,18.496696,73.463514,2.55,3.1
45,Bus Stop,College_45,Hyderabad,Kukatpally,18.86179,79.067797,6.24,4.3
46,Bus Stop,Park_46,Pune,Hinjewadi,15.968189,74.983768,9.93,4.0
47,Restaurant,Metro_47,Bengaluru,Whitefield,12.031445,79.0626,4.55,3.5
48,Airport,Metro_48,Hyderabad,Gachibowli,14.58096,73.130956,6.25,3.2
49,Park,Bus Stop_49,Hyderabad,Banjara Hills,12.442898,72.811102,9.54,3.6
50,Hospital,Bus Stop_50,Pune,Wakad,18.049725,79.972963,5.82,3.7
51,Hospital,Bus Stop_51,Bengaluru,HSR Layout,12.997478,78.451746,4.96,4.6
52,Mall,School_52,Bengaluru,Electronic City,14.201682,76.861158,4.06,4.0
53,Bus Stop,Park_53,Mumbai,Andheri,18.794846,78.525198,5.87,3.9
54,Hospital,Hospital_54,Chennai,Adyar,12.163627,76.951135,1.37,3.9
55,School,Hospital_55,Hyderabad,Banjara Hills,16.59967,72.325213,9.96,4.5
56,College,Metro_56,Hyderabad,Madhapur,18.696475,79.32833,2.62,4.9
57,Restaurant,School_57,Mumbai,Bandra,13.661794,74.978136,6.4,3.7
58,School,Park_58,Mumbai,Powai,17.996196,77.903385,8.22,3.5
59,Airport,Park_59,Pune,Wakad,13.045553,76.928416,1.15,3.7
60,Park,Bus Stop_60,Bengaluru,Indiranagar,13.429291,76.991436,8.13,4.9
61,Hospital,School_61,Hyderabad,Jubilee Hills,16.049307,76.815052,6.17,4.3
62,Bus Stop,Bus Stop_62,Bengaluru,HSR Layout,16.256581,76.055586,7.48,3.9
63,Mall,Hospital_63,Mumbai,Bandra,13.626077,72.310541,8.81,3.0
64,Park,Mall_64,Chennai,Velachery,13.343559,75.109657,3.98,4.2
65,School,Hospital_65,Pune,Kharadi,12.783251,76.975753,8.58,4.5
66,Airport,Bus Stop_66,Bengaluru,Whitefield,13.440064,72.895758,2.69,3.7
67,Mall,Hospital_67,Chennai,OMR,15.526161,78.811019,5.79,3.6
68,Metro,Park_68,Mumbai,Powai,17.335267,79.822926,8.17,4.9
69,School,Airport_69,Bengaluru,Indiranagar,17.367667,75.922334,2.14,3.5
70,Park,Mall_70,Pune,Kharadi,12.888164,76.752707,1.35,3.9
71,Hospital,Metro_71,Bengaluru,HSR Layout,13.08216,73.247886,9.63,3.2
72,Restaurant,Park_72,Mumbai,Bandra,15.044461,73.569527,4.69,3.3
73,Hospital,Bus Stop_73,Pune,Baner,16.908133,76.699415,2.5,3.8
74,Mall,Restaurant_74,Bengaluru,Electronic City,12.137601,78.8683,3.55,4.7
75,School,Park_75,Mumbai,Bandra,16.474829,78.631883,2.82,3.8
76,Metro,Metro_76,Hyderabad,Gachibowli,16.887769,74.817,9.3,3.1
77,Bus Stop,Park_77,Bengaluru,Indiranagar,16.662265,78.645593,9.83,4.4
78,Airport,Metro_78,Mumbai,Powai,16.580819,74.562564,5.35,3.7
79,Metro,Hospital_79,Pune,Hinjewadi,16.591697,74.000212,6.72,4.8
80,Metro,College_80,Chennai,Velachery,12.550305,78.714234,2.54,3.3
81,School,Airport_81,Pune,Hinjewadi,16.871199,75.980852,8.11,3.2
82,Airport,Bus Stop_82,Mumbai,Thane,17.027289,77.002223,2.59,3.1
83,Restaurant,Bus Stop_83,Chennai,Anna Nagar,14.336053,79.874294,5.5,3.1
84,College,Metro_84,Chennai,OMR,17.753729,75.800425,1.1,3.4
85,School,College_85,Hyderabad,Kukatpally,18.103455,73.109567,5.72,3.1
86,School,Bus Stop_86,Hyderabad,Banjara Hills,15.125302,72.113044,0.15,4.4
87,Restaurant,College_87,Hyderabad,Banjara Hills,12.902779,72.142217,4.66,4.9
88,College,College_88,Chennai,OMR,12.103107,77.20558,6.8,3.3
89,School,Metro_89,Hyderabad,Kondapur,14.700162,78.289938,6.05,3.6
90,Metro,Park_90,Mumbai,Bandra,16.212475,79.168928,9.76,4.6
91,School,Bus Stop_91,Pune,Baner,15.779868,75.8781,4.65,3.2
92,Airport,Bus Stop_92,Chennai,OMR,15.647277,74.076332,7.82,4.7
93,College,Mall_93,Bengaluru,Whitefield,14.601678,75.707471,2.69,4.6
94,College,Hospital_94,Mumbai,Powai,18.744277,74.031964,8.64,4.3
95,Restaurant,School_95,Hyderabad,Jubilee Hills,15.951333,77.125064,8.39,3.1
96,Bus Stop,Hospital_96,Pune,Baner,14.223778,72.04622,3.81,3.8
97,School,Hospital_97,Mumbai,Bandra,17.020587,73.56083,4.58,3.7
98,Metro,School_98,Bengaluru,Indiranagar,14.323854,77.888503,2.78,4.7
99,Park,Mall_99,Chennai,Velachery,14.226468,79.225346,9.71,3.9
100,School,Restaurant_100,Chennai,Velachery,14.026,79.169596,2.94,3.7
101,Mall,Metro_101,Hyderabad,Kukatpally,13.264805,78.746972,6.16,4.4
102,Park,Mall_102,Bengaluru,Electronic City,16.845701,76.156496,1.94,4.7
103,School,Park_103,Chennai,OMR,16.164265,72.037116,8.74,4.9
104,Mall,Park_104,Mumbai,Thane,17.631515,73.074973,0.28,4.2
105,Bus Stop,Metro_105,Pune,Baner,12.720052,78.956209,5.46,3.5
106,Bus Stop,Mall_106,Bengaluru,HSR Layout,18.637361,72.14807,8.4,4.4
107,Mall,Restaurant_107,Pune,Wakad,14.274158,73.173034,6.72,3.5
108,Mall,School_108,Mumbai,Thane,12.240616,77.132595,2.95,3.6
109,Restaurant,Park_109,Bengaluru,Whitefield,18.309948,72.675792,8.41,4.2
110,Bus Stop,Bus Stop_110,Pune,Kharadi,16.972519,75.687067,0.22,3.7
111,College,Airport_111,Bengaluru,Electronic City,13.99374,79.900084,7.38,3.2
112,School,Bus Stop_112,Bengaluru,HSR Layout,14.467179,77.402752,7.68,4.2
113,Airport,School_113,Mumbai,Thane,18.109329,76.85867,7.89,4.7
114,Bus Stop,School_114,Mumbai,Thane,15.75812,78.423621,0.35,3.5
115,Restaurant,Mall_115,Mumbai,Andheri,16.339945,75.497278,1.08,3.7
116,Park,Airport_116,Mumbai,Bandra,14.811486,78.138624,8.22,5.0
117,School,School_117,Mumbai,Bandra,13.454559,79.14513,3.14,4.4
118,Metro,Metro_118,Hyderabad,Kondapur,12.108087,72.236257,5.23,4.0
119,Metro,School_119,Hyderabad,Gachibowli,15.432987,75.740141,2.74,3.2
120,Airport,School_120,Pune,Hinjewadi,16.36802,72.156387,9.0,4.6
121,Metro,Airport_121,Chennai,Adyar,13.700495,75.118363,3.85,3.0
122,Mall,Bus Stop_122,Chennai,Adyar,15.736253,75.084779,0.45,4.3
123,Mall,Park_123,Chennai,Velachery,13.374074,76.35893,9.51,4.0
124,Hospital,Restaurant_124,Bengaluru,Indiranagar,18.297321,76.70051,8.53,4.5
125,Mall,Hospital_125,Mumbai,Powai,14.729544,72.688296,7.22,3.2
126,College,Mall_126,Chennai,Velachery,14.823647,79.271384,10.0,3.8
127,Park,Metro_127,Hyderabad,Madhapur,18.388802,77.872427,5.69,3.5
128,Bus Stop,Mall_128,Mumbai,Andheri,18.549723,72.894977,2.88,3.2
129,Restaurant,Metro_129,Mumbai,Thane,16.381641,76.069267,9.7,4.3
130,School,Restaurant_130,Pune,Wakad,14.504781,75.293104,6.95,3.3
131,Park,School_131,Chennai,Anna Nagar,15.94288,74.668574,3.67,3.4
132,College,College_132,Hyderabad,Kondapur,16.911367,75.584145,0.93,4.4
133,Hospital,Metro_133,Pune,Wakad,15.418403,78.271009,7.5,3.1
134,Airport,Metro_134,Mumbai,Bandra,18.734158,76.203491,5.56,3.7
135,Mall,Metro_135,Chennai,Velachery,15.968086,77.025689,1.47,4.3
136,College,School_136,Mumbai,Powai,13.3357,77.783602,6.69,4.7
137,Hospital,School_137,Bengaluru,Indiranagar,17.629144,77.402092,7.26,3.7
138,Airport,Restaurant_138,Chennai,Adyar,16.531504,74.394495,5.85,3.8
139,Mall,Restaurant_139,Pune,Kharadi,12.799775,73.444013,4.64,4.1
140,Restaurant,Hospital_140,Hyderabad,Jubilee Hills,12.5616,75.26421,4.65,4.4
141,Hospital,Metro_141,Pune,Kharadi,17.42486,73.094419,4.32,4.8
142,Airport,Hospital_142,Pune,Kharadi,14.568877,78.731792,3.62,3.7
143,Restaurant,Park_143,Pune,Hinjewadi,14.480479,77.551422,8.75,4.3
144,College,Bus Stop_144,Bengaluru,Electronic City,12.096605,74.738944,2.37,4.9
145,Airport,College_145,Pune,Hinjewadi,13.5142,79.151876,3.4,3.0
146,Hospital,Airport_146,Mumbai,Powai,14.691018,72.507863,7.94,4.6
147,Mall,Mall_147,Bengaluru,HSR Layout,17.176725,76.071256,9.97,3.3
148,Hospital,Mall_148,Bengaluru,Whitefield,14.772519,78.178782,5.88,3.2
149,School,Mall_149,Bengaluru,Electronic City,18.793887,77.522243,0.57,3.9
150,School,Airport_150,Pune,Wakad,13.69215,72.454403,9.24,3.4
151,School,School_151,Chennai,OMR,16.752745,74.702199,9.26,4.1
152,Airport,Mall_152,Chennai,OMR,13.096751,72.148811,7.44,3.5
153,Mall,Bus Stop_153,Mumbai,Powai,15.9151,74.890839,7.59,3.2
154,Airport,Mall_154,Hyderabad,Miyapur,15.802901,73.639509,4.47,4.7
155,Bus Stop,Bus Stop_155,Bengaluru,Electronic City,14.266822,79.228005,9.08,3.8
156,College,Park_156,Bengaluru,Whitefield,16.96485,73.934633,9.55,3.3
157,Metro,Bus Stop_157,Chennai,Anna Nagar,15.39886,79.127757,8.65,5.0
158,Mall,Mall_158,Chennai,OMR,12.93369,74.421668,7.94,4.4
159,Metro,Mall_159,Hyderabad,Madhapur,16.023955,77.587391,6.89,3.3
160,School,Bus Stop_160,Pune,Hinjewadi,18.700676,72.61862,7.92,4.9
161,Bus Stop,Bus Stop_161,Chennai,OMR,15.176181,74.257091,8.83,4.6
162,Airport,College_162,Hyderabad,Madhapur,17.109979,79.928098,5.53,3.6
163,Restaurant,Mall_163,Pune,Hinjewadi,14.396506,76.36944,9.25,4.5
164,College,Metro_164,Chennai,Adyar,15.336327,73.769792,6.44,4.7
165,Park,College_165,Hyderabad,Kondapur,12.861238,73.230755,6.98,3.9
166,School,Metro_166,Mumbai,Bandra,16.76126,74.935403,3.13,4.1
167,Airport,School_167,Chennai,Anna Nagar,12.639301,77.089144,7.15,3.6
168,Restaurant,Bus Stop_168,Mumbai,Thane,14.697501,76.629607,5.02,4.8
169,Restaurant,School_169,Hyderabad,Gachibowli,14.904249,75.788819,9.27,3.6
170,School,Restaurant_170,Chennai,Adyar,13.544959,72.617095,6.94,3.8
171,Restaurant,Bus Stop_171,Pune,Kharadi,13.018671,74.674687,6.84,3.6
172,Restaurant,School_172,Bengaluru,Indiranagar,14.134772,73.054002,7.32,3.0
173,Metro,Bus Stop_173,Hyderabad,Kukatpally,13.537846,75.51286,8.6,3.2
174,Mall,Restaurant_174,Bengaluru,Whitefield,18.456789,76.488475,1.1,3.2
175,Airport,Restaurant_175,Hyderabad,Gachibowli,17.834934,77.649679,7.22,3.6
176,Mall,College_176,Chennai,Anna Nagar,18.618896,77.323061,1.57,3.4
177,Park,Park_177,Chennai,Adyar,12.854891,79.386537,6.02,4.1
178,School,Metro_178,Hyderabad,Madhapur,17.374417,78.120607,3.4,3.9
179,School,School_179,Bengaluru,Electronic City,17.514083,74.385858,5.18,3.2
180,Hospital,Metro_180,Bengaluru,Indiranagar,17.093367,77.87393,5.01,4.1
181,Hospital,School_181,Hyderabad,Kondapur,15.978619,72.336506,1.15,3.1
182,Mall,Mall_182,Pune,Kharadi,13.075599,74.113393,2.51,4.5
183,Bus Stop,Bus Stop_183,Pune,Hinjewadi,14.361067,72.784603,0.42,4.6
184,Hospital,Mall_184,Bengaluru,HSR Layout,13.42617,79.399188,8.68,3.1
185,Restaurant,Park_185,Chennai,Adyar,13.135591,79.725998,7.51,4.2
186,Hospital,Mall_186,Hyderabad,Gachibowli,13.386095,75.663238,6.56,4.7
187,Airport,Bus Stop_187,Chennai,Adyar,15.423371,72.130829,8.46,4.2
188,Metro,Airport_188,Chennai,Anna Nagar,16.908237,75.53625,1.76,3.7
189,Park,Airport_189,Pune,Baner,18.690486,76.054031,6.79,5.0
190,School,College_190,Pune,Baner,14.912193,76.114204,4.98,4.4
191,Restaurant,School_191,Hyderabad,Gachibowli,15.134135,78.008591,9.98,3.3
192,College,School_192,Pune,Wakad,12.18063,76.385674,7.96,3.7
193,Airport,College_193,Bengaluru,HSR Layout,14.156011,76.164105,4.09,4.4
194,Restaurant,Bus Stop_194,Chennai,Adyar,13.86794,73.631797,7.55,3.6
195,Bus Stop,Hospital_195,Chennai,Adyar,12.847672,75.59726,9.31,3.3
196,Airport,Hospital_196,Bengaluru,Whitefield,14.799843,75.998491,9.25,3.1
197,Bus Stop,Park_197,Hyderabad,Banjara Hills,14.825764,76.589781,1.4,4.4
198,Restaurant,Hospital_198,Mumbai,Andheri,17.769724,74.184226,1.31,4.9
199,Mall,Mall_199,Bengaluru,Whitefield,13.925425,72.472802,5.61,4.6
200,School,Airport_200,Chennai,OMR,17.675432,74.144465,9.62,3.7
201,Restaurant,School_201,Chennai,OMR,15.019301,79.753463,4.44,3.4
202,Airport,Metro_202,Bengaluru,Electronic City,17.233562,79.586441,5.7,3.6
203,Airport,Airport_203,Chennai,Anna Nagar,16.839245,75.368151,4.81,4.6
204,Metro,Metro_204,Bengaluru,Whitefield,15.555556,73.674313,0.23,3.4
205,Mall,Airport_205,Pune,Baner,15.245984,72.346004,3.89,3.2
206,Mall,College_206,Pune,Kharadi,16.0044,79.363792,6.95,3.9
207,Mall,School_207,Bengaluru,Whitefield,12.439192,73.908808,0.48,3.1
208,Restaurant,Metro_208,Bengaluru,HSR Layout,16.04642,75.309912,6.2,3.6
209,Mall,School_209,Pune,Baner,15.891263,78.570821,1.95,4.0
210,Park,Park_210,Mumbai,Bandra,18.883142,76.901442,3.16,3.6
211,School,Metro_211,Mumbai,Andheri,12.524968,72.909356,8.51,3.9
212,Park,Mall_212,Hyderabad,Madhapur,16.945448,74.021171,0.23,4.1
213,Airport,Hospital_213,Chennai,Velachery,12.012116,78.16803,5.42,4.9
214,Hospital,Metro_214,Bengaluru,HSR Layout,16.644419,73.959651,6.14,4.2
215,Bus Stop,Park_215,Bengaluru,Electronic City,13.799904,72.221412,0.87,4.5
216,Hospital,College_216,Pune,Hinjewadi,12.995625,72.902901,3.49,4.7
217,Metro,School_217,Hyderabad,Kukatpally,17.620101,77.36576,1.52,3.2
218,Park,Airport_218,Hyderabad,Kukatpally,16.085653,72.496435,3.73,4.0
219,School,Hospital_219,Hyderabad,Banjara Hills,17.325582,79.45804,6.67,4.7
220,Mall,Hospital_220,Bengaluru,Electronic City,15.411995,72.879043,2.73,3.9
221,Hospital,College_221,Bengaluru,Electronic City,13.556834,77.953775,2.73,4.8
222,College,School_222,Mumbai,Bandra,14.224735,73.642664,5.42,3.5
223,School,Park_223,Mumbai,Bandra,17.625446,79.564626,4.45,3.3
224,Mall,Mall_224,Bengaluru,Electronic City,18.576092,75.215936,8.36,3.4
225,Restaurant,Bus Stop_225,Mumbai,Andheri,14.848855,74.745315,1.46,3.5
226,Mall,Metro_226,Hyderabad,Kondapur,18.989338,73.082098,9.57,3.5
227,College,Mall_227,Mumbai,Powai,18.772288,79.231718,5.05,4.1
228,School,College_228,Chennai,Velachery,18.282797,76.56252,2.2,3.7
229,Airport,Bus Stop_229,Hyderabad,Kukatpally,18.228342,75.724038,6.67,4.5
230,Bus Stop,Airport_230,Bengaluru,HSR Layout,12.249693,73.087968,1.84,4.0
231,Metro,Hospital_231,Hyderabad,Jubilee Hills,12.819997,77.034865,6.05,4.7
232,Park,Mall_232,Pune,Hinjewadi,15.743959,77.804975,0.29,3.2
233,School,Park_233,Hyderabad,Madhapur,12.513442,74.791483,1.4,4.7
234,Hospital,Hospital_234,Chennai,Anna Nagar,13.318754,79.431764,5.9,3.4
235,Restaurant,Bus Stop_235,Mumbai,Thane,17.773983,75.775128,5.27,3.7
236,College,Airport_236,Hyderabad,Gachibowli,15.589551,73.691713,8.29,4.4
237,Mall,Airport_237,Chennai,Adyar,12.389596,76.873698,1.28,4.0
238,College,Bus Stop_238,Pune,Wakad,17.427996,72.849726,7.73,3.7
239,Bus Stop,Restaurant_239,Mumbai,Andheri,12.615024,79.379685,0.95,3.8
240,Bus Stop,Airport_240,Hyderabad,Jubilee Hills,18.368708,77.362607,3.69,4.8
241,Restaurant,Airport_241,Mumbai,Powai,15.309382,79.65118,8.04,3.1
242,School,School_242,Pune,Baner,14.194099,77.835065,9.52,3.7
243,School,Metro_243,Chennai,Anna Nagar,16.324807,75.155294,7.57,4.6
244,Restaurant,College_244,Chennai,Anna Nagar,12.935147,76.312986,9.47,3.9
245,Bus Stop,Park_245,Mumbai,Bandra,12.448125,72.946783,8.04,4.9
246,Airport,Restaurant_246,Chennai,Adyar,17.173494,74.818174,3.7,4.9
247,School,Mall_247,Hyderabad,Jubilee Hills,15.984635,72.189075,3.73,4.9
248,Restaurant,Metro_248,Mumbai,Bandra,13.412067,74.41411,1.92,4.8
249,Park,Park_249,Pune,Hinjewadi,13.451758,72.187383,2.41,3.4
250,Hospital,College_250,Mumbai,Powai,18.322646,73.323433,7.15,4.4
251,Mall,Mall_251,Chennai,Adyar,18.60889,75.541004,2.35,4.7
252,College,Park_252,Chennai,Adyar,16.444962,75.564307,4.77,3.4
253,College,Restaurant_253,Pune,Kharadi,12.513021,77.610723,0.16,4.7
254,Airport,Metro_254,Mumbai,Andheri,16.338274,73.251755,5.54,3.8
255,Hospital,Airport_255,Bengaluru,Electronic City,16.314701,78.452428,2.62,4.2
256,Mall,School_256,Pune,Wakad,12.470361,78.483243,7.39,3.3
257,Metro,Metro_257,Chennai,Velachery,13.846846,77.867354,9.77,3.1
258,Bus Stop,Airport_258,Hyderabad,Madhapur,14.294684,77.555513,3.97,3.5
259,School,College_259,Bengaluru,Indiranagar,13.259293,73.21794,4.45,3.0
260,Bus Stop,Mall_260,Chennai,Adyar,18.403848,76.486536,5.74,4.5
261,Park,Airport_261,Mumbai,Andheri,13.128874,79.160297,1.67,4.7
262,Hospital,Bus Stop_262,Mumbai,Andheri,13.043584,78.088411,4.47,4.5
263,Park,College_263,Chennai,OMR,12.249801,78.674603,6.47,3.6
264,Mall,College_264,Mumbai,Powai,12.37469,79.906282,6.05,4.8
265,Park,Park_265,Hyderabad,Jubilee Hills,13.297128,73.093017,9.13,3.4
266,College,Restaurant_266,Pune,Wakad,16.372462,79.742558,9.62,4.8
267,Hospital,Airport_267,Bengaluru,Whitefield,18.404534,79.191051,3.86,3.2
268,Mall,Restaurant_268,Bengaluru,Indiranagar,16.044261,73.425685,9.59,4.3
269,Mall,Hospital_269,Bengaluru,Electronic City,14.101969,79.753929,6.87,4.9
270,Metro,Mall_270,Bengaluru,Whitefield,12.612857,74.243922,1.11,4.9
271,Restaurant,Bus Stop_271,Chennai,Anna Nagar,12.47097,78.643294,1.7,4.5
272,Bus Stop,College_272,Pune,Kharadi,15.804664,73.300577,5.48,3.0
273,School,College_273,Hyderabad,Madhapur,18.480079,72.045963,9.88,3.5
274,Metro,Metro_274,Hyderabad,Miyapur,13.8186,78.191845,3.12,3.6
275,Metro,Mall_275,Hyderabad,Jubilee Hills,16.10937,75.9821,6.73,3.9
276,Airport,Mall_276,Mumbai,Powai,16.911399,77.294905,0.48,3.8
277,Park,Hospital_277,Mumbai,Powai,12.397967,73.53523,9.35,4.6
278,School,Mall_278,Mumbai,Bandra,15.06131,77.279895,5.87,4.4
279,Hospital,Hospital_279,Chennai,Velachery,13.132603,75.502246,8.1,3.2
280,Airport,Metro_280,Bengaluru,Whitefield,12.589459,74.448269,3.8,4.0
281,Mall,Restaurant_281,Pune,Kharadi,15.527229,75.350247,5.47,4.1
282,Park,Airport_282,Chennai,Adyar,14.244748,77.453205,6.97,3.5
283,Airport,Mall_283,Hyderabad,Kondapur,15.06225,76.866725,2.77,4.0
284,Bus Stop,Bus Stop_284,Bengaluru,Electronic City,14.948597,74.512372,2.0,4.5
285,School,Mall_285,Chennai,OMR,15.573579,79.961746,2.15,4.2
286,Hospital,Restaurant_286,Pune,Kharadi,16.957009,78.791466,4.66,3.5
287,Park,College_287,Mumbai,Andheri,18.316136,72.928026,7.78,4.0
288,College,Mall_288,Hyderabad,Gachibowli,16.19316,73.401518,6.96,3.1
289,Mall,Mall_289,Hyderabad,Madhapur,14.872392,75.644495,8.79,3.7
290,Bus Stop,School_290,Chennai,Anna Nagar,18.686557,74.955074,1.7,4.3
291,School,College_291,Pune,Baner,13.629043,78.319706,5.5,4.6
292,Metro,Park_292,Pune,Kharadi,13.811006,77.156509,3.16,4.4
293,Hospital,Metro_293,Pune,Kharadi,12.88393,78.821995,9.07,4.9
294,Hospital,School_294,Hyderabad,Gachibowli,17.811367,77.507839,6.28,3.2
295,Restaurant,College_295,Bengaluru,Electronic City,18.090464,79.918453,6.16,4.7
296,Hospital,Mall_296,Bengaluru,Indiranagar,17.502465,75.647479,4.45,4.6
297,Metro,Bus Stop_297,Mumbai,Andheri,16.369325,78.127986,9.19,3.9
298,School,Park_298,Pune,Kharadi,15.997604,79.206556,2.61,4.7
299,Bus Stop,Bus Stop_299,Pune,Kharadi,17.504553,77.425231,2.85,3.2
300,Park,Mall_300,Pune,Kharadi,15.764023,75.517369,9.4,3.3
301,Mall,Hospital_301,Chennai,Anna Nagar,18.866356,73.261006,2.63,4.7
302,College,School_302,Chennai,Adyar,14.100858,75.692033,9.96,3.4
303,Metro,Bus Stop_303,Hyderabad,Kondapur,18.517572,75.139663,9.07,4.6
304,Metro,Park_304,Bengaluru,Whitefield,18.316989,79.962062,4.4,4.3
305,Restaurant,Metro_305,Bengaluru,HSR Layout,14.073979,75.055549,1.24,4.5
306,Mall,Airport_306,Hyderabad,Kondapur,16.313182,77.093465,4.85,4.4
307,Metro,Bus Stop_307,Mumbai,Thane,17.838598,76.69034,1.57,3.5
308,School,Bus Stop_308,Bengaluru,Whitefield,12.237013,75.554748,3.7,4.6
309,Mall,Airport_309,Hyderabad,Gachibowli,13.557166,72.651935,8.41,3.1
310,School,Park_310,Hyderabad,Miyapur,12.408809,72.894943,4.62,3.7
311,Park,Mall_311,Pune,Wakad,17.608251,75.966039,9.9,4.9
312,Metro,Hospital_312,Chennai,Velachery,12.895988,78.479234,3.07,4.6
313,Bus Stop,Restaurant_313,Bengaluru,Indiranagar,18.272056,79.664513,4.02,3.8
314,Metro,Metro_314,Bengaluru,Electronic City,13.684583,77.941787,0.98,4.8
315,Bus Stop,College_315,Pune,Kharadi,15.67231,73.148176,0.23,4.7
316,School,Hospital_316,Mumbai,Powai,13.77093,72.194335,7.67,4.2
317,Mall,Park_317,Pune,Baner,18.265394,75.702746,5.71,3.7
318,Metro,Hospital_318,Pune,Wakad,14.333,77.651046,2.56,4.4
319,Hospital,Hospital_319,Bengaluru,HSR Layout,16.67218,73.504587,4.58,3.0
320,School,Airport_320,Mumbai,Thane,13.623866,73.106127,0.47,4.6
321,Park,Bus Stop_321,Mumbai,Bandra,12.187815,78.738221,6.25,3.1
322,Bus Stop,Park_322,Pune,Baner,14.830726,72.817418,6.72,3.0
323,Restaurant,Metro_323,Mumbai,Bandra,14.652213,74.367743,6.27,4.0
324,Restaurant,Airport_324,Pune,Hinjewadi,14.242689,79.010878,6.18,3.3
325,Bus Stop,Restaurant_325,Hyderabad,Madhapur,18.662237,73.228357,6.85,4.5
326,Park,Mall_326,Chennai,Anna Nagar,12.936566,74.428832,9.03,3.1
327,Park,Restaurant_327,Chennai,OMR,15.651641,78.456152,1.92,4.2
328,Hospital,Hospital_328,Chennai,Velachery,13.411857,74.45013,3.56,4.8
329,Mall,Bus Stop_329,Bengaluru,HSR Layout,18.362182,75.209855,7.17,4.6
330,Hospital,Hospital_330,Pune,Wakad,14.050592,74.257546,4.55,4.1
331,Hospital,Restaurant_331,Mumbai,Andheri,12.721825,76.015855,6.4,4.5
332,School,Park_332,Mumbai,Bandra,12.897819,74.595921,8.49,4.6
