Property_ID,City,Locality,Latitude,Longitude,Property_Type,Area_sqft,Bedrooms,Bathrooms,Floor,Parking,Furnishing,Age,Investment_Score,Risk_Score,Price_INR
73,Pune,Baner,16.908133,76.699415,Plot,545,2,1,7,Yes,Fully,5,91,16,6019525
74,Bengaluru,Electronic City,12.137601,78.8683,Villa,3969,4,3,20,No,Unfurnished,12,81,14,45472833
75,Mumbai,Bandra,16.474829,78.631883,Independent House,4397,5,4,13,No,Unfurnished,21,61,51,18744411
76,Hyderabad,Gachibowli,16.887769,74.817,Independent House,3929,4,3,3,Yes,Semi,23,75,68,56176842
77,Bengaluru,Indiranagar,16.662265,78.645593,Plot,2351,2,1,14,No,Fully,20,58,100,23004535
78,Mumbai,Powai,16.580819,74.562564,Plot,2803,3,2,13,Yes,Fully,28,73,20,22460439
79,Pune,Hinjewadi,16.591697,74.000212,Apartment,594,2,1,18,Yes,Unfurnished,5,99,58,3076326
80,Chennai,Velachery,12.550305,78.714234,Apartment,4550,2,1,17,Yes,Semi,13,64,18,57766800
81,Pune,Hinjewadi,16.871199,75.980852,Independent House,1813,3,2,14,No,Semi,13,93,10,21152271
82,Mumbai,Thane,17.027289,77.002223,Independent House,1683,1,1,3,No,Semi,15,99,68,12614085
83,Chennai,Anna Nagar,14.336053,79.874294,Independent House,3409,4,3,6,No,Unfurnished,10,62,41,36183126
84,Chennai,OMR,17.753729,75.800425,Apartment,550,1,1,25,No,Fully,4,90,87,3911050
85,Hyderabad,Kukatpally,18.103455,73.109567,Independent House,1324,1,1,17,No,Semi,5,76,5,13296932
86,Hyderabad,Banjara Hills,15.125302,72.113044,Plot,3949,5,4,19,Yes,Semi,24,76,71,41973921
87,Hyderabad,Banjara Hills,12.902779,72.142217,Villa,1222,2,1,14,Yes,Unfurnished,11,99,96,7317336
88,Chennai,OMR,12.103107,77.20558,Apartment,761,1,1,12,No,Semi,23,88,22,3798912
89,Hyderabad,Kondapur,14.700162,78.289938,Independent House,1843,4,3,25,No,Semi,8,53,80,21773202
90,Mumbai,Bandra,16.212475,79.168928,Plot,3585,4,3,9,Yes,Semi,8,67,55,36434355
91,Pune,Baner,15.779868,75.8781,Plot,3341,5,4,6,Yes,Semi,19,53,87,18018013
92,Chennai,OMR,15.647277,74.076332,Independent House,2407,4,3,15,Yes,Unfurnished,6,62,12,32484872
93,Bengaluru,Whitefield,14.601678,75.707471,Apartment,4540,3,2,4,No,Fully,0,72,36,26050520
94,Mumbai,Powai,18.744277,74.031964,Apartment,4160,5,4,10,Yes,Unfurnished,12,55,4,58127680
95,Hyderabad,Jubilee Hills,15.951333,77.125064,Plot,1236,3,2,5,No,Unfurnished,11,65,93,11397156
96,Pune,Baner,14.223778,72.04622,Villa,956,1,1,21,No,Fully,18,78,98,6091632
97,Mumbai,Bandra,17.020587,73.56083,Apartment,1672,1,1,5,Yes,Unfurnished,29,89,48,19505552
98,Bengaluru,Indiranagar,14.323854,77.888503,Villa,1447,3,2,22,No,Fully,28,59,57,9172533
99,Chennai,Velachery,14.226468,79.225346,Apartment,2635,4,3,4,Yes,Fully,28,100,86,15254015
100,Chennai,Velachery,14.026,79.169596,Apartment,2450,1,1,23,No,Unfurnished,20,51,57,25460400
101,Hyderabad,Kukatpally,13.264805,78.746972,Villa,2288,3,2,22,Yes,Unfurnished,19,55,12,30567680
102,Bengaluru,Electronic City,16.845701,76.156496,Apartment,2157,1,1,16,No,Semi,9,90,64,10948932
103,Chennai,OMR,16.164265,72.037116,Plot,1839,3,2,16,Yes,Unfurnished,11,95,32,24677541
104,Mumbai,Thane,17.631515,73.074973,Villa,4705,1,1,2,Yes,Fully,5,60,14,59711155
105,Pune,Baner,12.720052,78.956209,Villa,4783,2,1,1,No,Unfurnished,14,81,75,53937891
106,Bengaluru,HSR Layout,18.637361,72.14807,Plot,4285,4,3,22,No,Fully,26,88,68,28675220
107,Pune,Wakad,14.274158,73.173034,Independent House,3781,5,4,7,No,Fully,20,50,47,18439937
108,Mumbai,Thane,12.240616,77.132595,Independent House,4216,1,1,21,No,Fully,17,52,80,19642344
109,Bengaluru,Whitefield,18.309948,72.675792,Villa,994,5,4,14,Yes,Fully,4,68,53,12342498
110,Pune,Kharadi,16.972519,75.687067,Independent House,3667,2,1,19,No,Semi,26,69,4,47623329
111,Bengaluru,Electronic City,13.99374,79.900084,Independent House,3166,4,3,1,Yes,Unfurnished,17,54,78,26664052
112,Bengaluru,HSR Layout,14.467179,77.402752,Independent House,3914,3,2,16,Yes,Fully,27,97,98,58506472
113,Mumbai,Thane,18.109329,76.85867,Plot,1725,4,3,14,No,Semi,23,72,38,14793600
114,Mumbai,Thane,15.75812,78.423621,Plot,4137,3,2,18,No,Fully,7,55,43,29033466
115,Mumbai,Andheri,16.339945,75.497278,Plot,4894,3,2,12,No,Semi,1,88,87,62750868
116,Mumbai,Bandra,14.811486,78.138624,Independent House,2041,4,3,22,Yes,Unfurnished,11,70,47,24438934
117,Mumbai,Bandra,13.454559,79.14513,Plot,4793,3,2,5,Yes,Fully,18,88,14,59346926
118,Hyderabad,Kondapur,12.108087,72.236257,Villa,3756,1,1,15,No,Fully,28,84,66,51096624
119,Hyderabad,Gachibowli,15.432987,75.740141,Plot,1123,2,1,25,Yes,Fully,0,93,99,14104880
120,Pune,Hinjewadi,16.36802,72.156387,Villa,3358,2,1,12,Yes,Semi,1,89,31,38180460
121,Chennai,Adyar,13.700495,75.118363,Villa,2564,4,3,13,No,Semi,28,95,63,13091784
122,Chennai,Adyar,15.736253,75.084779,Plot,3473,1,1,20,Yes,Unfurnished,13,72,71,32951824
123,Chennai,Velachery,13.374074,76.35893,Villa,2480,2,1,17,No,Semi,26,100,31,13682160
124,Bengaluru,Indiranagar,18.297321,76.70051,Independent House,1572,3,2,17,Yes,Semi,19,82,28,21637008
125,Mumbai,Powai,14.729544,72.688296,Villa,1688,3,2,24,Yes,Semi,6,92,14,7165560
126,Chennai,Velachery,14.823647,79.271384,Villa,3768,3,2,8,Yes,Unfurnished,11,93,85,37043208
127,Hyderabad,Madhapur,18.388802,77.872427,Apartment,2887,1,1,12,Yes,Fully,5,77,26,24360506
128,Mumbai,Andheri,18.549723,72.894977,Independent House,4062,5,4,1,Yes,Unfurnished,21,57,5,39474516
129,Mumbai,Thane,16.381641,76.069267,Villa,3287,5,4,13,Yes,Semi,24,62,6,46971230
130,Pune,Wakad,14.504781,75.293104,Villa,2545,1,1,20,No,Unfurnished,4,93,91,17186385
131,Chennai,Anna Nagar,15.94288,74.668574,Apartment,1592,2,1,17,No,Unfurnished,21,92,20,21692592
132,Hyderabad,Kondapur,16.911367,75.584145,Apartment,2989,2,1,5,No,Semi,14,86,47,17369079
133,Pune,Wakad,15.418403,78.271009,Independent House,1391,4,3,0,No,Unfurnished,20,68,81,15459574
134,Mumbai,Bandra,18.734158,76.203491,Villa,2927,3,2,3,No,Fully,19,70,49,20614861
135,Chennai,Velachery,15.968086,77.025689,Plot,972,1,1,1,Yes,Semi,13,81,94,5594832
136,Mumbai,Powai,13.3357,77.783602,Apartment,827,4,3,1,No,Unfurnished,9,54,85,9803258
137,Bengaluru,Indiranagar,17.629144,77.402092,Villa,2922,1,1,15,Yes,Fully,10,83,59,32901720
138,Chennai,Adyar,16.531504,74.394495,Independent House,3519,4,3,16,Yes,Unfurnished,7,93,95,51926364
139,Pune,Kharadi,12.799775,73.444013,Villa,4115,4,3,17,Yes,Unfurnished,27,66,84,34059855
140,Hyderabad,Jubilee Hills,12.5616,75.26421,Apartment,4704,5,4,25,No,Unfurnished,27,82,71,62502048
141,Pune,Kharadi,17.42486,73.094419,Apartment,2069,5,4,12,Yes,Unfurnished,11,52,2,24381096
142,Pune,Kharadi,14.568877,78.731792,Apartment,1439,3,2,8,Yes,Unfurnished,11,82,95,9716128
143,Pune,Hinjewadi,14.480479,77.551422,Apartment,779,2,1,18,No,Unfurnished,25,51,63,6365209
144,Bengaluru,Electronic City,12.096605,74.738944,Villa,4910,3,2,15,No,Unfurnished,25,52,10,55360250
145,Pune,Hinjewadi,13.5142,79.151876,Apartment,3456,3,2,6,Yes,Semi,23,79,43,43735680
146,Mumbai,Powai,14.691018,72.507863,Independent House,1694,2,1,11,Yes,Fully,1,85,99,14343098
147,Bengaluru,HSR Layout,17.176725,76.071256,Villa,1090,3,2,11,No,Semi,1,95,44,10458550
148,Bengaluru,Whitefield,14.772519,78.178782,Villa,4212,4,3,18,Yes,Unfurnished,9,96,40,47591388
149,Bengaluru,Electronic City,18.793887,77.522243,Apartment,3395,4,3,15,No,Unfurnished,8,66,70,33433960
150,Pune,Wakad,13.69215,72.454403,Villa,4611,1,1,19,Yes,Unfurnished,2,86,44,33300642
151,Chennai,OMR,16.752745,74.702199,Apartment,4483,4,3,13,Yes,Unfurnished,20,89,43,62717170
152,Chennai,OMR,13.096751,72.148811,Villa,3900,5,4,4,Yes,Semi,26,73,55,36632700
153,Mumbai,Powai,15.9151,74.890839,Independent House,3033,5,4,4,No,Unfurnished,17,80,13,34648992
154,Hyderabad,Miyapur,15.802901,73.639509,Villa,1598,1,1,8,No,Fully,4,61,95,7966030
155,Bengaluru,Electronic City,14.266822,79.228005,Apartment,3686,4,3,21,Yes,Unfurnished,25,91,52,27549164
156,Bengaluru,Whitefield,16.96485,73.934633,Independent House,2563,1,1,6,No,Semi,20,67,39,21265211
157,Chennai,Anna Nagar,15.39886,79.127757,Villa,1224,3,2,10,No,Unfurnished,18,53,27,4974336
158,Chennai,OMR,12.93369,74.421668,Independent House,1413,2,1,3,Yes,Semi,21,75,12,5869602
159,Hyderabad,Madhapur,16.023955,77.587391,Apartment,4635,5,4,1,No,Unfurnished,28,57,16,36129825
160,Pune,Hinjewadi,18.700676,72.61862,Villa,4841,3,2,7,Yes,Semi,22,61,2,58721330
161,Chennai,OMR,15.176181,74.257091,Independent House,3168,1,1,22,No,Fully,22,67,52,46569600
162,Hyderabad,Madhapur,17.109979,79.928098,Villa,4604,3,2,21,Yes,Unfurnished,26,89,5,64497436
163,Pune,Hinjewadi,14.396506,76.36944,Plot,4378,4,3,7,No,Semi,22,54,51,54098946
164,Chennai,Adyar,15.336327,73.769792,Villa,3348,5,4,2,No,Fully,6,83,22,45726984
165,Hyderabad,Kondapur,12.861238,73.230755,Independent House,3623,3,2,12,Yes,Semi,11,92,67,39900099
166,Mumbai,Bandra,16.76126,74.935403,Villa,4738,2,1,19,No,Fully,10,74,33,19406848
167,Chennai,Anna Nagar,12.639301,77.089144,Apartment,2481,3,2,6,Yes,Semi,30,100,38,27730137
168,Mumbai,Thane,14.697501,76.629607,Villa,2603,3,2,22,No,Unfurnished,21,63,43,20587127
169,Hyderabad,Gachibowli,14.904249,75.788819,Apartment,4289,4,3,14,No,Semi,4,82,97,47800905
170,Chennai,Adyar,13.544959,72.617095,Apartment,4267,1,1,3,No,Unfurnished,27,98,28,23361825
171,Pune,Kharadi,13.018671,74.674687,Apartment,3833,1,1,5,No,Fully,8,55,41,54673912
172,Bengaluru,Indiranagar,14.134772,73.054002,Villa,4072,5,4,17,No,Semi,21,81,91,33439264
173,Hyderabad,Kukatpally,13.537846,75.51286,Villa,3150,1,1,22,Yes,Fully,19,79,52,26715150
174,Bengaluru,Whitefield,18.456789,76.488475,Villa,4572,2,1,15,Yes,Fully,23,93,96,19348704
175,Hyderabad,Gachibowli,17.834934,77.649679,Plot,3897,2,1,21,No,Unfurnished,27,53,90,57656115
176,Chennai,Anna Nagar,18.618896,77.323061,Villa,4995,2,1,12,Yes,Semi,12,59,83,32407560
177,Chennai,Adyar,12.854891,79.386537,Apartment,1436,1,1,9,No,Semi,0,98,64,14021104
178,Hyderabad,Madhapur,17.374417,78.120607,Villa,1644,4,3,18,No,Unfurnished,18,88,13,13878648
179,Bengaluru,Electronic City,17.514083,74.385858,Apartment,3482,2,1,23,No,Unfurnished,23,85,15,20181672
180,Bengaluru,Indiranagar,17.093367,77.87393,Independent House,3390,1,1,5,Yes,Semi,0,91,62,34371210
181,Hyderabad,Kondapur,15.978619,72.336506,Independent House,4332,2,1,11,Yes,Semi,12,85,27,28968084
182,Pune,Kharadi,13.075599,74.113393,Apartment,2378,1,1,13,No,Fully,16,57,38,16184668
183,Pune,Hinjewadi,14.361067,72.784603,Villa,2513,1,1,19,Yes,Semi,10,55,98,34719608
184,Bengaluru,HSR Layout,13.42617,79.399188,Independent House,1738,3,2,22,Yes,Unfurnished,25,80,5,10947662
185,Chennai,Adyar,13.135591,79.725998,Plot,1256,3,2,4,No,Fully,29,69,7,17016288
186,Hyderabad,Gachibowli,13.386095,75.663238,Villa,2564,2,1,15,Yes,Semi,21,100,51,20340212
187,Chennai,Adyar,15.423371,72.130829,Apartment,2996,1,1,25,No,Semi,13,88,39,26730312
188,Chennai,Anna Nagar,16.908237,75.53625,Villa,1220,3,2,3,Yes,Fully,20,52,49,8622960
189,Pune,Baner,18.690486,76.054031,Villa,3027,4,3,5,No,Fully,0,50,23,27902886
190,Pune,Baner,14.912193,76.114204,Independent House,1606,3,2,14,No,Semi,11,69,85,23955096
191,Hyderabad,Gachibowli,15.134135,78.008591,Villa,1475,5,4,23,No,Unfurnished,30,70,62,15014025
192,Pune,Wakad,12.18063,76.385674,Plot,2480,3,2,20,Yes,Fully,20,74,64,32034160
193,Bengaluru,HSR Layout,14.156011,76.164105,Independent House,4727,1,1,1,No,Semi,24,73,89,31462912
194,Chennai,Adyar,13.86794,73.631797,Plot,3118,4,3,16,No,Fully,5,99,41,36611556
195,Chennai,Adyar,12.847672,75.59726,Apartment,4836,3,2,1,No,Semi,19,73,34,69275700
196,Bengaluru,Whitefield,14.799843,75.998491,Independent House,3808,4,3,11,Yes,Fully,27,59,69,36552992
197,Hyderabad,Banjara Hills,14.825764,76.589781,Independent House,2429,5,4,25,Yes,Unfurnished,7,92,97,26927894
198,Mumbai,Andheri,17.769724,74.184226,Villa,1051,5,4,7,No,Unfurnished,11,93,73,14618359
199,Bengaluru,Whitefield,13.925425,72.472802,Plot,4249,2,1,18,Yes,Unfurnished,17,79,15,48102929
200,Chennai,OMR,17.675432,74.144465,Independent House,2326,2,1,2,No,Fully,2,87,15,10383264
201,Chennai,OMR,15.019301,79.753463,Plot,4414,5,4,6,No,Fully,6,57,52,27327074
202,Bengaluru,Electronic City,17.233562,79.586441,Apartment,2148,5,4,2,No,Unfurnished,13,50,83,19016244
203,Chennai,Anna Nagar,16.839245,75.368151,Apartment,1362,1,1,25,No,Unfurnished,10,56,20,9356940
204,Bengaluru,Whitefield,15.555556,73.674313,Independent House,4827,5,4,21,Yes,Unfurnished,22,67,67,39175932
205,Pune,Baner,15.245984,72.346004,Apartment,726,1,1,10,No,Fully,17,79,63,3926934
206,Pune,Kharadi,16.0044,79.363792,Plot,2137,4,3,24,Yes,Fully,23,96,7,24526349
207,Bengaluru,Whitefield,12.439192,73.908808,Villa,4579,5,4,0,No,Fully,25,97,29,46948487
208,Bengaluru,HSR Layout,16.04642,75.309912,Apartment,862,5,4,4,No,Unfurnished,15,98,14,12467106
209,Pune,Baner,15.891263,78.570821,Apartment,518,1,1,22,Yes,Fully,17,89,38,2323748
210,Mumbai,Bandra,18.883142,76.901442,Apartment,1500,2,1,17,No,Fully,3,55,94,16543500
211,Mumbai,Andheri,12.524968,72.909356,Villa,2073,1,1,16,No,Semi,13,89,74,10968243
212,Hyderabad,Madhapur,16.945448,74.021171,Independent House,2903,4,3,11,Yes,Semi,12,56,21,23761055
213,Chennai,Velachery,12.012116,78.16803,Villa,4956,3,2,10,Yes,Fully,5,56,5,46512060
214,Bengaluru,HSR Layout,16.644419,73.959651,Plot,4849,1,1,16,Yes,Fully,6,63,37,71028152
215,Bengaluru,Electronic City,13.799904,72.221412,Villa,3702,2,1,20,No,Fully,30,91,83,35535498
216,Pune,Hinjewadi,12.995625,72.902901,Plot,1101,3,2,20,No,Semi,5,56,33,5747220
217,Hyderabad,Kukatpally,17.620101,77.36576,Independent House,2353,1,1,19,Yes,Unfurnished,2,55,21,17463966
218,Hyderabad,Kukatpally,16.085653,72.496435,Independent House,2580,1,1,0,No,Unfurnished,29,72,47,34396560
219,Hyderabad,Banjara Hills,17.325582,79.45804,Apartment,2534,2,1,7,Yes,Unfurnished,24,74,47,21979916
220,Bengaluru,Electronic City,15.411995,72.879043,Plot,740,4,3,2,No,Unfurnished,15,80,23,8273940
221,Bengaluru,Electronic City,13.556834,77.953775,Plot,969,1,1,3,Yes,Semi,16,53,31,11961336
222,Mumbai,Bandra,14.224735,73.642664,Independent House,1109,4,3,2,Yes,Fully,15,80,33,15900842
223,Mumbai,Bandra,17.625446,79.564626,Apartment,3485,2,1,11,Yes,Fully,7,51,77,36055810
224,Bengaluru,Electronic City,18.576092,75.215936,Villa,3072,5,4,0,No,Semi,7,54,62,22321152
225,Mumbai,Andheri,14.848855,74.745315,Apartment,2353,3,2,18,No,Unfurnished,7,50,20,10635560
226,Hyderabad,Kondapur,18.989338,73.082098,Independent House,3908,2,1,24,Yes,Unfurnished,7,77,22,24405460
227,Mumbai,Powai,18.772288,79.231718,Apartment,922,4,3,9,Yes,Unfurnished,13,54,68,5260010
228,Chennai,Velachery,18.282797,76.56252,Villa,4071,1,1,22,No,Fully,7,76,47,55780842
229,Hyderabad,Kukatpally,18.228342,75.724038,Independent House,4394,3,2,25,Yes,Semi,2,63,70,64187552
230,Bengaluru,HSR Layout,12.249693,73.087968,Plot,2260,3,2,19,No,Fully,2,80,75,13225520
231,Hyderabad,Jubilee Hills,12.819997,77.034865,Independent House,1818,4,3,17,Yes,Fully,7,95,76,18283626
232,Pune,Hinjewadi,15.743959,77.804975,Independent House,2124,1,1,0,Yes,Unfurnished,26,61,11,29217744
233,Hyderabad,Madhapur,12.513442,74.791483,Independent House,1717,4,3,13,No,Semi,10,53,11,16301198
234,Chennai,Anna Nagar,13.318754,79.431764,Apartment,4610,4,3,24,Yes,Fully,13,74,38,29093710
235,Mumbai,Thane,17.773983,75.775128,Plot,2394,5,4,4,Yes,Unfurnished,29,87,28,13234032
236,Hyderabad,Gachibowli,15.589551,73.691713,Plot,2374,1,1,19,Yes,Unfurnished,6,69,85,18089880
237,Chennai,Adyar,12.389596,76.873698,Apartment,3084,5,4,9,Yes,Semi,16,65,20,27814596
238,Pune,Wakad,17.427996,72.849726,Apartment,4403,5,4,19,No,Semi,15,54,33,40027673
239,Mumbai,Andheri,12.615024,79.379685,Villa,918,1,1,1,Yes,Unfurnished,14,93,80,10525788
240,Hyderabad,Jubilee Hills,18.368708,77.362607,Apartment,919,1,1,22,Yes,Semi,5,84,78,8012761
241,Mumbai,Powai,15.309382,79.65118,Independent House,1251,3,2,24,No,Semi,22,62,94,12929085
242,Pune,Baner,14.194099,77.835065,Independent House,1716,5,4,21,Yes,Fully,13,53,1,15895308
243,Chennai,Anna Nagar,16.324807,75.155294,Independent House,3496,3,2,3,Yes,Unfurnished,29,93,53,35442448
244,Chennai,Anna Nagar,12.935147,76.312986,Independent House,3618,4,3,21,Yes,Semi,28,61,41,32674158
245,Mumbai,Bandra,12.448125,72.946783,Apartment,3288,3,2,25,Yes,Unfurnished,11,54,79,26583480
246,Chennai,Adyar,17.173494,74.818174,Apartment,3109,3,2,19,Yes,Semi,14,76,2,28304336
247,Hyderabad,Jubilee Hills,15.984635,72.189075,Villa,785,4,3,13,Yes,Unfurnished,16,68,66,10738800
248,Mumbai,Bandra,13.412067,74.41411,Independent House,3617,1,1,16,Yes,Semi,17,98,65,39168493
249,Pune,Hinjewadi,13.451758,72.187383,Villa,3463,1,1,16,No,Unfurnished,17,63,19,16996404
250,Mumbai,Powai,18.322646,73.323433,Villa,1256,1,1,17,No,Unfurnished,16,61,30,12023688
