Recommendation_ID,User_Budget_INR,Preferred_BHK,Preferred_City,Preferred_Locality,Recommended_Property_ID,Recommended_Price_INR,Area_sqft,Recommendation_Score,Similarity_Score,Investment_Score
27,13300000,5,Hyderabad,Madhapur,2921,12500000,2811,90.09,94.66,86
28,16100000,3,Bengaluru,Electronic City,2013,7600000,1583,89.8,84.54,79
29,9700000,1,Mumbai,Thane,8812,15200000,1443,71.06,92.92,87
30,20000000,5,Hyderabad,Gachibowli,4860,18200000,2475,75.89,69.09,96
31,12900000,5,Mumbai,Andheri,7340,18800000,3543,90.72,94.61,98
32,4900000,3,Pune,Wakad,4075,19700000,1132,74.37,93.25,66
33,19600000,5,Hyderabad,Kondapur,6033,3700000,1391,95.2,71.35,66
34,15800000,5,Mumbai,Thane,8992,13000000,2371,89.02,85.43,73
35,8900000,1,Bengaluru,Indiranagar,7454,25000000,1506,93.16,96.09,97
36,4200000,4,Chennai,Velachery,3059,8600000,1221,70.31,66.32,59
37,8300000,5,Hyderabad,Madhapur,295,5600000,3794,77.25,83.98,56
38,12100000,4,Chennai,Anna Nagar,563,18200000,2641,71.39,76.16,87
39,10400000,3,Pune,Baner,6080,20400000,2611,89.61,75.57,68
40,12900000,1,Chennai,Anna Nagar,4419,20400000,3373,83.23,69.26,73
41,19000000,3,Hyderabad,Kukatpally,9966,11900000,2381,75.58,96.53,77
42,12000000,5,Mumbai,Bandra,6151,8300000,1747,90.96,95.96,61
43,11300000,5,Bengaluru,Electronic City,6223,24500000,3806,75.0,75.82,90
44,12600000,2,Hyderabad,Madhapur,8181,20100000,3473,89.91,68.47,60
45,7200000,4,Hyderabad,Gachibowli,1819,23000000,2538,71.45,85.47,57
46,10100000,3,Pune,Hinjewadi,91,21400000,2276,94.96,99.18,66
47,10100000,2,Bengaluru,Whitefield,60,12200000,777,74.99,73.83,63
48,18900000,2,Bengaluru,Electronic City,9951,22900000,1413,72.92,97.14,69
49,11200000,2,Bengaluru,Electronic City,4985,24500000,2374,93.02,67.57,55
50,15400000,1,Hyderabad,Kukatpally,9101,15900000,1283,94.43,96.38,89
51,12300000,5,Hyderabad,Kukatpally,6528,23600000,2405,84.61,70.61,86
52,13000000,5,Chennai,Anna Nagar,1902,12900000,2784,85.27,96.46,91
53,17600000,3,Chennai,Velachery,5190,19200000,3015,92.29,81.37,98
54,13800000,5,Chennai,Adyar,8766,10400000,1617,85.01,63.48,88
55,19300000,4,Pune,Baner,6877,21000000,3364,81.86,84.71,61
56,18000000,2,Mumbai,Andheri,978,20600000,2084,77.53,98.43,83
57,17800000,2,Bengaluru,HSR Layout,5166,18700000,2756,91.56,86.95,55
58,14800000,1,Mumbai,Andheri,2717,7200000,1362,98.0,75.2,90
59,5900000,3,Bengaluru,Whitefield,649,6400000,2161,93.94,73.48,75
60,12100000,5,Chennai,Velachery,8169,5700000,1907,95.2,78.25,76
61,9100000,4,Pune,Wakad,4320,10400000,2951,93.77,77.07,99
62,10000000,1,Hyderabad,Gachibowli,1924,16200000,3277,84.04,91.61,77
63,12500000,4,Hyderabad,Madhapur,8682,17500000,2703,81.95,64.25,83
64,3400000,2,Chennai,Velachery,3321,4800000,1967,87.9,83.91,97
65,15400000,4,Hyderabad,Madhapur,6931,12300000,852,81.18,79.11,91
66,5000000,5,Chennai,Adyar,4421,24300000,3174,90.53,70.48,70
67,12900000,5,Pune,Baner,8566,9200000,3837,70.75,63.32,77
68,16600000,3,Chennai,Velachery,3558,3500000,1242,93.85,88.31,90
69,4000000,2,Bengaluru,Electronic City,9430,9200000,2558,97.56,85.39,62
70,10600000,3,Mumbai,Andheri,6321,12900000,1448,95.96,84.0,71
71,19500000,5,Mumbai,Bandra,5155,12100000,1235,86.48,89.72,53
72,14100000,2,Pune,Kharadi,2423,17000000,2719,86.26,73.66,57
73,15000000,2,Bengaluru,Electronic City,1097,11900000,1969,83.81,85.32,78
74,18600000,4,Pune,Baner,9988,5500000,2142,75.13,74.14,59
75,16300000,1,Chennai,Velachery,5308,13000000,1825,90.24,91.86,88
76,8200000,2,Hyderabad,Gachibowli,7050,5300000,3116,90.37,66.35,63
77,15300000,4,Hyderabad,Madhapur,9674,8500000,1164,93.34,93.94,53
78,13500000,3,Chennai,Velachery,6493,5200000,3536,87.69,90.66,84
79,4900000,3,Mumbai,Thane,8781,12400000,2173,91.3,81.27,55
80,11600000,5,Hyderabad,Madhapur,7085,3900000,3558,90.74,65.7,69
81,14700000,5,Bengaluru,HSR Layout,7311,16500000,1088,77.76,82.59,60
82,12300000,2,Hyderabad,Madhapur,9791,16300000,2564,97.87,67.2,68
83,7900000,4,Chennai,Anna Nagar,6301,17300000,2393,89.56,94.99,100
84,9800000,2,Pune,Hinjewadi,3170,20700000,3235,91.0,62.63,50
85,8500000,3,Pune,Hinjewadi,9950,23900000,2395,70.11,88.99,90
86,10000000,2,Mumbai,Bandra,2290,24300000,1611,74.18,98.54,73
87,14400000,1,Mumbai,Powai,5883,7600000,2070,83.64,97.05,87
88,3200000,2,Pune,Baner,4743,21400000,1704,78.66,84.06,97
89,18400000,4,Chennai,OMR,7654,13000000,1013,87.97,71.83,70
90,3700000,1,Hyderabad,Madhapur,2079,24200000,897,70.99,88.66,79
91,17500000,2,Pune,Hinjewadi,8733,18600000,971,88.5,79.92,65
92,11300000,5,Hyderabad,Madhapur,6929,23900000,3840,93.67,66.21,54
93,5000000,5,Mumbai,Powai,8138,4700000,2434,70.03,90.11,99
94,8800000,2,Pune,Kharadi,1108,3600000,2979,93.98,71.28,95
95,9800000,5,Chennai,Anna Nagar,7754,12200000,3190,94.33,82.12,52
96,16300000,5,Mumbai,Andheri,1959,5700000,2891,97.56,90.85,65
97,3500000,4,Bengaluru,Indiranagar,3053,5600000,3160,84.08,84.24,86
98,11800000,3,Mumbai,Bandra,1709,9600000,3900,71.45,67.33,51
99,7200000,5,Bengaluru,Indiranagar,1035,10700000,2268,75.39,74.99,97
100,4800000,1,Hyderabad,Kondapur,8158,9200000,1020,90.92,99.23,60
101,3600000,1,Mumbai,Andheri,1042,16300000,651,71.56,77.49,79
102,7700000,3,Pune,Kharadi,8264,15400000,1888,97.07,85.34,59
103,6400000,1,Hyderabad,Kondapur,9099,21500000,1709,93.04,75.23,55
104,7000000,5,Pune,Hinjewadi,6085,4800000,3086,74.57,95.88,100
105,3500000,2,Pune,Wakad,4378,18100000,726,92.11,90.24,95
106,14400000,3,Bengaluru,Indiranagar,6256,13000000,1141,86.82,84.79,58
107,11700000,2,Pune,Kharadi,3624,17200000,3549,94.48,67.62,70
108,18100000,5,Mumbai,Powai,1156,4100000,1432,95.93,78.0,59
109,19900000,4,Hyderabad,Kondapur,4325,10500000,3017,88.28,71.59,94
110,17300000,4,Bengaluru,Indiranagar,1180,19600000,724,86.02,68.2,66
111,9100000,5,Mumbai,Powai,4827,10100000,3889,70.1,79.89,86
112,14100000,2,Pune,Hinjewadi,5620,13700000,1686,71.6,72.76,83
113,4100000,1,Mumbai,Andheri,2764,3700000,1739,77.28,67.74,73
114,16700000,5,Chennai,OMR,9989,15700000,2734,91.13,66.77,70
115,13400000,4,Chennai,Anna Nagar,9609,13100000,1708,74.25,81.84,68
116,10300000,5,Hyderabad,Kukatpally,3589,19800000,894,99.55,90.13,83
117,10800000,4,Chennai,Velachery,6725,6700000,1606,75.15,84.02,81
118,5100000,5,Hyderabad,Kondapur,9475,9800000,3535,75.24,88.81,78
119,14700000,5,Pune,Baner,6778,9200000,1113,89.08,70.77,64
120,8100000,5,Hyderabad,Kukatpally,7431,19700000,1010,92.28,71.02,87
121,4100000,1,Chennai,OMR,4468,10500000,902,72.13,71.67,63
122,13000000,3,Bengaluru,HSR Layout,4465,24600000,752,75.67,79.11,64
123,10200000,4,Bengaluru,Whitefield,6750,4800000,2443,91.82,95.86,71
124,14300000,5,Chennai,Anna Nagar,7038,13000000,1168,93.05,93.41,84
125,9900000,2,Bengaluru,HSR Layout,1407,12100000,2165,77.38,74.8,88
126,16700000,2,Hyderabad,Gachibowli,4287,15600000,977,70.81,77.24,52
127,4900000,1,Bengaluru,Electronic City,4112,19600000,2270,97.81,89.72,78
128,3900000,2,Bengaluru,Electronic City,1249,6500000,788,84.63,81.78,51
129,13900000,5,Pune,Wakad,2524,24800000,2740,81.77,79.83,98
130,15200000,5,Bengaluru,Indiranagar,2786,5300000,2867,96.22,97.5,59
131,18300000,5,Bengaluru,Electronic City,3408,20500000,2924,88.66,63.03,93
132,6300000,4,Hyderabad,Kukatpally,5981,6100000,2813,88.62,82.14,52
133,14500000,1,Mumbai,Bandra,5991,23200000,928,96.37,75.61,79
134,8600000,4,Bengaluru,Electronic City,2881,7900000,2196,78.09,68.11,55
135,8500000,2,Chennai,OMR,5233,21600000,927,90.18,97.95,79
136,14800000,3,Hyderabad,Gachibowli,6289,10000000,674,99.72,73.49,73
137,9800000,4,Bengaluru,Whitefield,7994,12000000,2908,79.76,72.97,83
138,15600000,2,Mumbai,Andheri,7723,4000000,1275,76.57,80.98,92
139,10200000,4,Pune,Wakad,1452,16400000,3887,71.55,80.12,91
140,10700000,5,Pune,Hinjewadi,8079,22300000,1337,90.54,96.42,52
141,20000000,1,Pune,Baner,8625,13000000,3306,83.51,61.94,69
142,3700000,1,Hyderabad,Madhapur,2305,8900000,3166,77.4,69.08,62
143,6600000,3,Mumbai,Bandra,5655,5500000,1807,96.86,92.51,94
144,6600000,3,Hyderabad,Gachibowli,12,15500000,3622,98.76,62.13,64
145,4700000,5,Hyderabad,Kukatpally,8122,20200000,1086,81.15,77.58,63
146,19700000,5,Bengaluru,Indiranagar,4758,12200000,2322,70.09,82.69,99
147,5000000,1,Bengaluru,Electronic City,1272,16200000,1331,79.91,96.07,69
148,16000000,3,Hyderabad,Kondapur,9783,24100000,3347,74.04,91.04,80
149,6500000,1,Pune,Hinjewadi,170,20900000,1475,84.71,61.98,96
150,13600000,1,Mumbai,Powai,2881,5700000,2885,79.68,68.98,64
151,3400000,3,Chennai,Adyar,9096,3800000,2062,90.4,98.73,86
152,10100000,2,Mumbai,Bandra,5457,15700000,1698,78.06,66.53,65
153,5100000,4,Mumbai,Powai,7168,4000000,2777,88.97,68.11,83
154,12900000,5,Mumbai,Thane,6779,22800000,2536,94.02,75.6,82
155,4800000,3,Mumbai,Andheri,4410,23000000,2469,79.13,98.5,94
156,15000000,3,Pune,Wakad,3451,4900000,1446,93.64,82.51,62
157,8000000,1,Mumbai,Bandra,2552,5500000,790,80.71,92.63,75
158,3800000,4,Pune,Hinjewadi,437,16200000,1896,76.31,85.06,80
159,7500000,4,Pune,Baner,4524,21900000,2448,98.94,82.09,89
160,6600000,2,Hyderabad,Gachibowli,5679,17600000,1630,77.34,74.55,60
161,19000000,4,Mumbai,Thane,9700,19600000,1055,88.53,73.18,62
162,12300000,5,Mumbai,Andheri,1337,4500000,3138,90.15,62.46,87
163,9200000,4,Mumbai,Bandra,5991,9800000,3959,70.66,61.8,67
164,15700000,4,Hyderabad,Gachibowli,2572,15400000,3831,77.61,87.91,75
165,3100000,2,Bengaluru,Electronic City,7659,21300000,2893,76.04,89.85,82
166,19300000,4,Chennai,Anna Nagar,4548,25000000,1243,74.77,77.94,92
167,12500000,4,Bengaluru,Indiranagar,9505,11000000,1112,79.53,99.65,50
168,8200000,5,Mumbai,Andheri,9149,15700000,3894,96.7,73.57,64
169,13200000,4,Pune,Hinjewadi,2732,4000000,942,73.32,93.72,93
170,11900000,5,Bengaluru,Whitefield,1525,14600000,2935,75.88,65.16,55
171,15900000,2,Chennai,OMR,7040,11000000,2416,78.07,91.43,90
172,9200000,4,Hyderabad,Kukatpally,4741,9600000,1412,74.57,87.15,70
173,17000000,2,Pune,Baner,1465,5500000,2632,72.32,88.45,71
174,9800000,2,Bengaluru,Whitefield,7890,15200000,1971,99.79,96.64,81
175,17200000,5,Hyderabad,Gachibowli,4628,16800000,2137,79.91,93.91,50
176,16100000,5,Mumbai,Powai,4850,24900000,3366,76.48,92.37,91
177,5900000,3,Bengaluru,Whitefield,4709,12600000,1415,77.8,62.57,55
178,14600000,3,Pune,Kharadi,7352,21100000,3561,95.66,65.74,85
179,10600000,4,Bengaluru,HSR Layout,403,16300000,3108,91.54,65.47,91
180,12300000,2,Pune,Wakad,7137,13200000,3361,92.5,86.13,85
181,6300000,1,Bengaluru,HSR Layout,1813,9100000,3039,83.0,71.25,83
182,12300000,2,Pune,Hinjewadi,3278,12600000,1161,73.4,72.77,65
183,19500000,2,Bengaluru,Indiranagar,2982,20000000,1293,79.63,71.36,76
184,3300000,2,Chennai,Anna Nagar,3843,17000000,965,83.94,69.56,87
185,5500000,3,Mumbai,Bandra,9290,19900000,610,91.07,82.12,64
186,17200000,1,Mumbai,Bandra,1068,4400000,1463,75.8,74.92,97
187,10900000,1,Hyderabad,Gachibowli,2290,17300000,1938,80.03,73.74,74
188,15400000,3,Chennai,Anna Nagar,6346,6600000,1412,88.68,88.75,74
189,14200000,1,Bengaluru,Electronic City,3713,16400000,1994,73.18,79.69,85
190,6100000,5,Bengaluru,Electronic City,4200,17700000,3482,88.08,61.2,94
191,15900000,5,Chennai,Velachery,5950,16700000,3672,89.97,81.38,62
192,6200000,4,Hyderabad,Madhapur,4329,17700000,2244,86.49,70.21,81
193,12100000,4,Chennai,Anna Nagar,7794,14700000,2387,89.5,60.29,72
194,10500000,5,Chennai,Adyar,5723,5600000,701,82.97,94.35,94
195,16300000,4,Pune,Wakad,7400,23500000,849,82.29,64.5,90
196,4400000,4,Mumbai,Andheri,3540,8800000,651,92.97,80.83,98
197,4300000,5,Chennai,OMR,53,4500000,3298,77.13,66.64,74
198,14600000,2,Hyderabad,Madhapur,3370,23700000,2643,76.66,79.71,76
199,5300000,1,Pune,Wakad,5814,11300000,1423,75.2,66.14,54
200,11400000,4,Pune,Hinjewadi,2268,13500000,731,99.37,71.75,86
201,9100000,1,Pune,Baner,5152,19300000,1680,93.01,88.84,95
202,10700000,5,Pune,Wakad,5372,10600000,3464,80.64,70.83,85
203,14600000,4,Mumbai,Thane,807,13700000,3039,86.05,77.01,98
204,4800000,5,Chennai,Adyar,9392,10300000,3968,98.53,66.88,68
205,4000000,4,Bengaluru,Whitefield,2531,23300000,2355,93.65,96.53,91
206,9300000,3,Hyderabad,Kondapur,5527,16100000,1272,80.65,63.68,95
207,8300000,2,Hyderabad,Kondapur,4498,8400000,1387,92.37,75.26,70
208,12800000,2,Hyderabad,Kondapur,4436,16200000,3598,90.19,80.92,98
209,14500000,4,Mumbai,Bandra,6703,22100000,1132,92.15,96.46,70
210,5100000,3,Pune,Hinjewadi,6501,5000000,2939,71.5,60.58,97
211,15700000,4,Bengaluru,HSR Layout,1809,13100000,2992,95.86,79.35,84
212,13800000,4,Bengaluru,Electronic City,5376,23700000,1238,79.74,88.31,68
213,3500000,1,Pune,Baner,7493,14400000,2827,74.11,74.91,81
214,9300000,5,Bengaluru,Indiranagar,582,17400000,1699,93.51,97.56,55
215,12000000,3,Mumbai,Andheri,7630,24700000,2482,73.22,80.73,83
216,6900000,5,Hyderabad,Kondapur,5772,17100000,1721,83.11,80.8,78
217,17000000,4,Bengaluru,Electronic City,5292,19800000,3926,76.9,70.34,50
218,4100000,4,Chennai,OMR,9855,24200000,3405,84.21,77.31,73
219,19900000,5,Bengaluru,Electronic City,8934,23800000,3172,77.13,68.36,53
220,7900000,2,Chennai,OMR,8743,4800000,1097,80.68,61.48,59
221,8400000,3,Pune,Baner,6638,16200000,933,72.37,73.62,54
222,4500000,1,Pune,Wakad,4165,11200000,875,71.35,71.4,80
223,11300000,3,Hyderabad,Kukatpally,1529,21800000,3171,77.74,77.97,82
224,4300000,3,Chennai,Anna Nagar,1356,10800000,2775,91.38,71.23,74
225,9800000,1,Hyderabad,Kondapur,4697,3800000,2698,84.48,99.1,80
226,13100000,4,Chennai,Anna Nagar,2145,10500000,3457,74.11,94.3,92
227,9100000,2,Chennai,Anna Nagar,1017,10200000,3724,87.29,90.74,54
228,12500000,2,Hyderabad,Madhapur,5339,22400000,3897,96.47,81.81,60
229,7900000,3,Mumbai,Andheri,6094,20500000,1176,74.0,95.08,58
230,19400000,1,Chennai,Adyar,48,6500000,1341,90.77,99.85,61
231,9100000,1,Pune,Baner,6523,20200000,1828,70.81,70.65,67
232,10200000,2,Hyderabad,Kondapur,6815,5700000,3630,98.25,62.6,79
233,17900000,1,Pune,Hinjewadi,7540,6900000,643,80.59,94.64,97
234,11300000,4,Mumbai,Bandra,5094,9300000,3023,82.82,80.57,75
235,11500000,4,Mumbai,Powai,4016,24300000,1441,85.34,96.56,88
236,9600000,5,Hyderabad,Madhapur,8917,17500000,3341,93.36,90.35,55
237,4500000,5,Chennai,Anna Nagar,7578,24500000,1946,70.9,94.03,88
238,15600000,4,Mumbai,Thane,2300,14000000,1458,98.96,82.63,92
239,8900000,5,Chennai,OMR,3540,5600000,3598,98.15,68.27,74
240,7500000,3,Pune,Kharadi,89,15200000,1337,78.4,89.67,65
241,11000000,1,Pune,Kharadi,6960,10000000,3823,70.72,75.53,81
242,18900000,4,Pune,Wakad,4685,11400000,1211,92.32,98.06,70
243,18500000,4,Mumbai,Andheri,425,9500000,948,70.4,76.73,87
244,11400000,1,Mumbai,Thane,559,17500000,2538,97.23,63.37,51
245,14300000,1,Hyderabad,Kondapur,815,18200000,1940,98.57,65.97,51
246,7000000,5,Hyderabad,Madhapur,6719,24700000,3978,87.24,93.86,56
247,9600000,1,Hyderabad,Madhapur,6044,9200000,1309,73.2,94.52,88
248,12300000,2,Hyderabad,Kukatpally,1354,19500000,1955,94.89,71.2,59
249,6700000,4,Pune,Hinjewadi,1595,10200000,1291,96.81,78.55,86
250,7300000,1,Chennai,OMR,9436,8900000,2307,81.45,76.51,51
251,3800000,3,Mumbai,Bandra,313,23600000,1491,74.11,94.34,88
252,10600000,4,Pune,Wakad,3058,18300000,2745,77.6,60.78,85
253,10800000,1,Hyderabad,Kukatpally,8551,12700000,1843,70.02,84.19,73
254,9000000,4,Mumbai,Powai,4556,3500000,658,95.37,98.81,81
255,3600000,1,Mumbai,Thane,1210,20500000,2436,80.41,89.25,78
256,19900000,5,Mumbai,Powai,7206,13600000,688,96.4,85.97,71
257,10000000,2,Bengaluru,Indiranagar,3753,14100000,3540,80.97,74.84,77
258,8800000,1,Hyderabad,Gachibowli,1500,8300000,2355,91.91,95.72,52
259,16900000,5,Pune,Hinjewadi,5011,24700000,2840,74.48,71.39,71
260,5700000,1,Hyderabad,Kukatpally,2051,8100000,1230,74.39,75.12,87
261,6500000,5,Hyderabad,Kondapur,5685,23000000,708,86.28,97.63,59
262,10000000,4,Hyderabad,Gachibowli,6226,19400000,1958,71.89,93.89,100
263,10300000,1,Pune,Kharadi,307,24300000,965,94.12,99.47,100
264,19400000,1,Hyderabad,Madhapur,4077,21900000,2568,72.05,86.61,92
265,11600000,3,Mumbai,Powai,5318,10600000,902,90.25,95.04,80
266,16700000,4,Chennai,Anna Nagar,9660,9700000,1095,88.32,76.19,63
267,19700000,1,Chennai,Adyar,1286,4400000,3967,83.52,86.11,65
268,4600000,5,Mumbai,Thane,795,17900000,1007,81.27,62.75,66
269,10700000,5,Chennai,OMR,7507,15900000,2649,81.4,80.97,51
270,12500000,1,Chennai,OMR,4542,9800000,3730,84.59,85.76,99
271,3100000,1,Pune,Kharadi,8020,12400000,2375,87.97,95.6,80
272,6900000,3,Bengaluru,Electronic City,9602,22600000,2114,88.77,90.91,73
273,10300000,5,Pune,Baner,810,18000000,3045,99.82,92.84,63
274,17000000,4,Bengaluru,Whitefield,2209,19300000,2009,92.23,64.04,61
275,8500000,1,Hyderabad,Madhapur,1637,18700000,3411,88.89,60.77,93
276,16000000,4,Mumbai,Andheri,103,18900000,2157,71.38,97.48,95
277,10300000,4,Mumbai,Andheri,3697,21100000,2843,82.15,70.62,83
278,8800000,4,Bengaluru,Whitefield,8711,17900000,1304,81.84,94.83,68
279,11500000,1,Chennai,OMR,1926,16300000,3352,97.63,89.75,61
280,17900000,1,Hyderabad,Madhapur,1061,22200000,3261,80.0,88.35,89
281,3000000,5,Mumbai,Andheri,7562,12500000,1815,71.22,72.0,54
282,12700000,2,Pune,Kharadi,7659,9900000,3229,85.54,77.99,57
283,16100000,3,Chennai,OMR,4468,14700000,2414,80.18,61.9,72
284,9600000,5,Hyderabad,Kondapur,9099,5900000,3722,89.63,87.27,65
285,13500000,1,Hyderabad,Gachibowli,7409,5300000,3992,77.58,62.07,50
286,9900000,5,Chennai,OMR,475,16900000,3896,76.76,99.81,95
287,10900000,3,Pune,Wakad,1701,18800000,3868,74.27,90.65,50
288,19900000,2,Hyderabad,Madhapur,9597,21300000,733,73.45,98.24,67
289,8500000,5,Bengaluru,Whitefield,1088,19800000,2621,93.29,80.28,79
290,4600000,5,Bengaluru,Indiranagar,4116,15800000,1384,96.95,78.67,66
291,13900000,4,Chennai,Velachery,4525,15600000,1445,90.33,65.66,54
292,3400000,2,Bengaluru,Indiranagar,5900,6000000,3732,97.63,74.09,73
293,6500000,5,Pune,Hinjewadi,1528,24400000,1348,97.35,87.75,62
294,4500000,4,Mumbai,Thane,7202,13100000,2201,88.17,82.24,74
295,7000000,2,Mumbai,Andheri,7478,3500000,2529,92.88,74.19,94
296,15300000,5,Bengaluru,Electronic City,7282,9200000,2882,84.78,75.56,88
297,18700000,3,Hyderabad,Gachibowli,1691,16200000,2581,88.04,94.22,71
298,12000000,4,Bengaluru,HSR Layout,9529,17900000,3186,81.53,88.33,69
299,10900000,2,Hyderabad,Kondapur,4789,7500000,2195,76.82,88.05,96
300,11400000,2,Hyderabad,Kondapur,6882,9200000,1574,73.08,76.18,61
301,18900000,5,Pune,Hinjewadi,290,11800000,883,93.19,89.67,83
302,16600000,3,Pune,Baner,8241,14500000,3198,85.13,87.98,92
303,6800000,4,Pune,Hinjewadi,8783,12600000,1208,94.07,73.88,50
304,14900000,1,Chennai,Velachery,8315,14200000,882,80.12,71.17,68
305,14200000,5,Hyderabad,Madhapur,3646,18900000,1772,83.23,90.28,51
306,19300000,2,Bengaluru,Electronic City,6140,22700000,2969,85.95,95.61,63
307,14500000,4,Chennai,Velachery,3394,14000000,1963,94.64,64.29,57
308,18300000,5,Bengaluru,Indiranagar,9081,8600000,3675,82.88,92.74,75
309,17800000,3,Hyderabad,Gachibowli,432,15000000,1354,98.15,60.68,100
310,7800000,1,Bengaluru,Electronic City,7113,20200000,1622,70.76,79.88,87
311,3200000,5,Pune,Wakad,3529,18900000,2142,78.92,83.36,92
312,8700000,2,Bengaluru,Whitefield,2630,3900000,2610,87.8,95.87,67
313,6400000,5,Pune,Wakad,5127,6100000,2625,73.56,63.78,87
314,8700000,5,Hyderabad,Kukatpally,4312,4600000,3085,98.4,86.9,76
315,6900000,5,Hyderabad,Kukatpally,6251,7500000,2738,71.63,75.49,68
316,5800000,5,Chennai,Anna Nagar,7075,14600000,3838,81.21,83.05,77
317,6700000,2,Pune,Baner,717,10200000,3511,94.35,78.77,77
318,6900000,3,Bengaluru,Indiranagar,4602,21700000,668,84.62,78.48,72
319,6800000,5,Chennai,Adyar,9007,19800000,2540,80.6,81.84,58
320,4800000,3,Bengaluru,HSR Layout,5647,11400000,618,78.36,81.41,88
321,12500000,5,Hyderabad,Kondapur,7973,21100000,2560,94.7,75.52,87
322,16100000,2,Pune,Baner,2853,8900000,1133,90.76,89.02,70
323,15100000,1,Pune,Hinjewadi,2242,9100000,3468,96.73,94.83,87
324,13700000,4,Hyderabad,Kondapur,1362,14400000,1729,78.75,62.68,99
325,10200000,4,Mumbai,Andheri,309,19100000,3866,88.49,72.04,84
326,18100000,4,Hyderabad,Madhapur,2055,3800000,2319,89.91,98.09,62
327,17200000,5,Chennai,Anna Nagar,4965,20300000,959,95.85,73.31,78
328,19500000,3,Hyderabad,Gachibowli,3158,9700000,2356,93.72,98.37,69
329,6200000,3,Hyderabad,Gachibowli,5239,24800000,2223,90.23,66.98,80
330,5400000,2,Pune,Baner,6364,13400000,1049,80.3,61.94,77
331,15500000,3,Hyderabad,Kondapur,5127,19100000,1931,96.69,74.32,81
332,9600000,4,Chennai,Velachery,6945,19500000,644,78.56,82.82,78
333,7500000,3,Chennai,Velachery,8032,6300000,3092,95.77,73.52,96
334,10300000,3,Chennai,Anna Nagar,2764,24100000,3071,91.73,73.36,69
335,7300000,2,Bengaluru,HSR Layout,8754,24400000,1555,99.11,92.03,55
336,10600000,4,Chennai,Velachery,1244,16000000,1776,82.28,95.53,60
337,5100000,2,Hyderabad,Gachibowli,1144,17000000,1999,90.94,97.78,70
338,12500000,1,Hyderabad,Kondapur,5635,18700000,3320,80.07,98.43,89
339,8100000,1,Chennai,OMR,9923,23300000,2332,81.86,62.57,50
340,20000000,2,Chennai,Anna Nagar,6218,11100000,2412,80.58,98.88,85
341,3300000,4,Mumbai,Powai,8536,5200000,2643,75.97,89.6,75
342,3200000,3,Mumbai,Thane,7903,10300000,2035,97.91,74.08,57
343,12500000,3,Hyderabad,Kondapur,2522,18600000,2523,82.1,97.66,83
344,13400000,4,Mumbai,Powai,2199,10300000,3849,78.79,95.5,75
345,18900000,1,Pune,Baner,8383,11300000,2849,86.33,63.97,87
346,8700000,3,Mumbai,Powai,9811,22200000,1823,70.27,66.71,94
347,8200000,1,Pune,Kharadi,9507,7900000,1751,76.85,97.31,88
348,6500000,2,Mumbai,Andheri,6117,23500000,817,89.27,76.87,86
349,13500000,3,Mumbai,Andheri,2277,9700000,2716,88.6,60.17,53
350,17900000,2,Hyderabad,Gachibowli,3121,18100000,2344,70.47,90.28,77
