Comparison_ID,Property_A_ID,Property_B_ID,Property_A_Price_INR,Property_B_Price_INR,Property_A_Area_sqft,Property_B_Area_sqft,Property_A_BHK,Property_B_BHK,Property_A_Investment_Score,Property_B_Investment_Score,Better_Property,Reason
27,2148,443,22800000,4100000,3325,3631,2,1,77,87,B,Higher investment score and better overall value.
28,8106,3126,9900000,8200000,2361,3987,4,2,91,63,A,Higher investment score and better overall value.
29,7214,4947,22200000,9100000,1249,2143,2,4,97,58,A,Higher investment score and better overall value.
30,9066,7911,4100000,12900000,3984,1141,4,3,93,53,A,Higher investment score and better overall value.
31,1714,6143,22200000,23500000,2479,3847,1,2,91,66,A,Higher investment score and better overall value.
32,1708,4847,16600000,8700000,1148,2638,4,2,91,63,A,Higher investment score and better overall value.
33,6778,991,18900000,20200000,2692,686,2,5,57,98,B,Higher investment score and better overall value.
34,2337,5676,14800000,19700000,3253,2471,5,5,75,98,B,Higher investment score and better overall value.
35,1422,5651,7700000,3800000,3873,1710,3,3,81,59,A,Higher investment score and better overall value.
36,3622,9025,17100000,19900000,1073,3174,4,1,57,60,B,Higher investment score and better overall value.
37,4010,3337,23600000,24400000,2731,3460,1,4,77,86,B,Higher investment score and better overall value.
38,7900,2985,5500000,23400000,1652,3779,4,3,52,90,B,Higher investment score and better overall value.
39,876,1892,5800000,15900000,1930,3961,2,2,68,87,B,Higher investment score and better overall value.
40,6966,8400,19500000,15600000,1492,2879,3,2,94,56,A,Higher investment score and better overall value.
41,8238,3281,9000000,8900000,1277,1979,1,2,60,52,A,Higher investment score and better overall value.
42,6041,7867,12900000,20100000,1197,1778,1,1,59,71,B,Higher investment score and better overall value.
43,9469,4472,23800000,19100000,3740,3646,2,1,67,63,A,Higher investment score and better overall value.
44,7055,6239,23200000,6800000,2726,2182,1,2,92,68,A,Higher investment score and better overall value.
45,2894,8362,20200000,14900000,3516,1793,4,4,87,68,A,Higher investment score and better overall value.
46,7591,5122,12400000,6900000,2770,2013,3,2,94,66,A,Higher investment score and better overall value.
47,8268,416,7900000,11800000,2947,3397,5,2,52,51,A,Higher investment score and better overall value.
48,6756,4142,22100000,13600000,2172,3842,3,1,70,63,A,Higher investment score and better overall value.
49,7604,7552,23500000,8100000,1365,3546,5,4,95,94,A,Higher investment score and better overall value.
50,146,511,7100000,21900000,3202,607,1,4,69,83,B,Higher investment score and better overall value.
51,4888,3686,7100000,7500000,2283,3277,3,5,69,54,A,Higher investment score and better overall value.
52,3313,3937,15500000,10900000,2711,1589,5,4,79,71,A,Higher investment score and better overall value.
53,3764,4328,8000000,17300000,2763,1277,1,2,63,92,B,Higher investment score and better overall value.
54,1897,4803,8700000,17200000,1297,3453,1,5,86,54,A,Higher investment score and better overall value.
55,7066,3149,10900000,13100000,2311,1406,3,4,50,95,B,Higher investment score and better overall value.
56,7010,8415,20800000,7600000,1559,1360,1,3,53,66,B,Higher investment score and better overall value.
57,554,841,24600000,18000000,3061,1346,2,4,93,80,A,Higher investment score and better overall value.
58,7338,2689,12200000,6500000,3352,3343,2,5,75,74,A,Higher investment score and better overall value.
59,7820,4475,13700000,4800000,3678,3737,5,5,55,96,B,Higher investment score and better overall value.
60,7399,7849,19300000,24000000,833,2285,2,1,98,68,A,Higher investment score and better overall value.
61,7123,6228,11500000,12700000,3828,1764,3,4,71,62,A,Higher investment score and better overall value.
62,5399,6388,10100000,5400000,3804,1171,2,5,64,83,B,Higher investment score and better overall value.
63,2379,1424,21800000,16100000,1382,2304,2,2,89,75,A,Higher investment score and better overall value.
64,3240,9297,10700000,24900000,981,3983,5,3,57,75,B,Higher investment score and better overall value.
65,4464,413,6700000,4300000,2585,2859,5,4,51,84,B,Higher investment score and better overall value.
66,5025,3017,6800000,18700000,1292,2931,1,3,96,52,A,Higher investment score and better overall value.
67,1429,8590,15600000,15600000,3810,1627,1,4,72,74,B,Higher investment score and better overall value.
68,6472,9505,17000000,3800000,2566,1660,1,2,60,50,A,Higher investment score and better overall value.
69,3314,5999,4800000,7100000,1133,3253,3,3,80,70,A,Higher investment score and better overall value.
70,9010,539,9700000,17000000,1659,3204,5,5,100,67,A,Higher investment score and better overall value.
71,9408,606,16100000,20700000,2335,2456,5,2,79,60,A,Higher investment score and better overall value.
72,9152,8255,10200000,14400000,1110,1764,1,3,77,70,A,Higher investment score and better overall value.
73,2878,7153,24500000,15800000,1510,3927,5,2,72,94,B,Higher investment score and better overall value.
74,7301,9280,15600000,13300000,1891,930,2,4,68,85,B,Higher investment score and better overall value.
75,342,2843,3500000,13400000,1840,2429,1,2,92,98,B,Higher investment score and better overall value.
76,1266,7263,5500000,23500000,3380,2609,4,5,51,86,B,Higher investment score and better overall value.
77,9270,5651,8500000,11400000,3783,3154,5,1,58,99,B,Higher investment score and better overall value.
78,7408,6911,4500000,14600000,1510,809,2,3,69,91,B,Higher investment score and better overall value.
79,9833,601,15700000,10200000,3719,2338,1,3,69,64,A,Higher investment score and better overall value.
80,5696,2037,6100000,7100000,2036,845,2,2,78,75,A,Higher investment score and better overall value.
81,2361,596,5400000,14600000,928,1767,3,3,100,73,A,Higher investment score and better overall value.
82,1025,5035,23100000,7300000,2362,3087,4,1,61,77,B,Higher investment score and better overall value.
83,3823,1411,12800000,21900000,2463,1108,5,3,78,78,A,Higher investment score and better overall value.
84,5536,684,6000000,17600000,3938,1953,5,5,79,98,B,Higher investment score and better overall value.
85,7469,2158,24700000,9800000,2711,2737,4,2,77,51,A,Higher investment score and better overall value.
86,3020,9252,16000000,4200000,3675,2884,1,2,74,82,B,Higher investment score and better overall value.
87,9679,8047,12900000,4500000,2976,780,4,1,61,57,A,Higher investment score and better overall value.
88,2371,4014,11600000,20500000,2199,3555,5,1,84,67,A,Higher investment score and better overall value.
89,5304,577,15400000,21500000,1765,2246,2,1,82,79,A,Higher investment score and better overall value.
90,9628,4994,13800000,24600000,2367,3339,2,2,75,76,B,Higher investment score and better overall value.
91,3627,1404,5300000,14200000,1513,3635,4,4,52,95,B,Higher investment score and better overall value.
92,7434,7116,3700000,17300000,1217,1021,1,4,89,64,A,Higher investment score and better overall value.
93,1894,3695,7200000,6000000,3610,2735,3,3,88,97,B,Higher investment score and better overall value.
94,9949,7769,9000000,20800000,3266,3090,5,5,79,85,B,Higher investment score and better overall value.
95,2398,3328,17200000,5600000,3988,1972,3,2,87,71,A,Higher investment score and better overall value.
96,4761,8103,19300000,24100000,3009,683,2,1,79,73,A,Higher investment score and better overall value.
97,6795,2893,23600000,6600000,1649,2772,3,1,79,53,A,Higher investment score and better overall value.
98,3138,7493,5300000,6400000,1632,1698,3,1,89,72,A,Higher investment score and better overall value.
99,2263,7714,22900000,20200000,2451,784,2,5,91,53,A,Higher investment score and better overall value.
100,3290,6390,20400000,17900000,3695,1395,3,5,89,100,B,Higher investment score and better overall value.
101,9006,2764,23000000,19200000,1233,650,4,2,77,99,B,Higher investment score and better overall value.
102,7658,9579,6300000,4800000,3968,1070,2,3,76,93,B,Higher investment score and better overall value.
103,1333,2062,23500000,7800000,1341,3517,3,1,58,72,B,Higher investment score and better overall value.
104,1935,6137,12200000,20800000,3172,1099,4,4,88,88,A,Higher investment score and better overall value.
105,1805,2715,14000000,23600000,1374,2419,2,3,61,71,B,Higher investment score and better overall value.
106,5809,9794,12600000,15600000,3790,3926,5,4,56,72,B,Higher investment score and better overall value.
107,3878,1077,15800000,20100000,1509,3344,2,2,100,79,A,Higher investment score and better overall value.
108,3423,6906,12200000,13600000,748,3961,2,5,74,65,A,Higher investment score and better overall value.
109,2447,9726,23800000,6300000,2960,3968,5,3,78,57,A,Higher investment score and better overall value.
110,2591,7886,10300000,6600000,2756,3594,3,2,79,86,B,Higher investment score and better overall value.
111,2745,807,24100000,21300000,3782,3760,4,5,55,96,B,Higher investment score and better overall value.
112,8993,2645,5600000,22100000,2472,3628,5,4,58,61,B,Higher investment score and better overall value.
113,8159,4723,23700000,22400000,2142,3421,5,2,71,60,A,Higher investment score and better overall value.
114,9356,3131,6000000,24600000,2425,1925,3,1,69,89,B,Higher investment score and better overall value.
115,7832,1907,17200000,7100000,1430,1851,2,1,61,85,B,Higher investment score and better overall value.
116,3196,8638,23000000,16400000,1492,1004,1,5,67,64,A,Higher investment score and better overall value.
117,3658,8890,14400000,18100000,2339,1338,3,5,63,97,B,Higher investment score and better overall value.
118,4402,367,20400000,11700000,848,3448,1,3,68,75,B,Higher investment score and better overall value.
119,5530,5387,15500000,6300000,2198,3999,1,4,59,58,A,Higher investment score and better overall value.
120,8604,1235,5700000,12900000,2046,3521,5,3,91,69,A,Higher investment score and better overall value.
121,8246,8905,20000000,4600000,2796,3992,5,5,53,84,B,Higher investment score and better overall value.
122,2106,4520,6500000,22700000,2764,2095,3,3,73,68,A,Higher investment score and better overall value.
123,4353,7711,14600000,18400000,971,2185,4,5,92,100,B,Higher investment score and better overall value.
124,1756,9354,6300000,14000000,2577,3249,1,1,93,63,A,Higher investment score and better overall value.
125,1008,4333,15400000,19000000,1250,2962,4,4,96,85,A,Higher investment score and better overall value.
126,6807,344,22800000,19600000,2964,2979,4,1,79,85,B,Higher investment score and better overall value.
127,9835,2071,6000000,15400000,708,1056,4,3,66,61,A,Higher investment score and better overall value.
128,6845,4680,9500000,24800000,2111,3680,3,1,95,74,A,Higher investment score and better overall value.
129,197,2806,17700000,7300000,1003,1650,5,3,87,83,A,Higher investment score and better overall value.
130,6310,1332,20200000,4300000,1515,1111,5,5,84,79,A,Higher investment score and better overall value.
131,4037,689,11600000,22100000,2307,2698,4,5,94,98,B,Higher investment score and better overall value.
132,1868,8127,12400000,7400000,1620,1014,3,2,64,74,B,Higher investment score and better overall value.
133,6788,3075,24700000,9500000,1220,3983,1,4,90,95,B,Higher investment score and better overall value.
134,4023,6631,24100000,19200000,2824,3873,5,1,96,78,A,Higher investment score and better overall value.
135,8520,3872,20300000,6800000,2236,2885,5,4,80,71,A,Higher investment score and better overall value.
136,6640,8966,7300000,15100000,735,1726,4,3,84,68,A,Higher investment score and better overall value.
137,5870,1740,21900000,23200000,2479,1911,5,3,58,59,B,Higher investment score and better overall value.
138,9710,3762,11900000,18500000,3744,2667,4,5,96,77,A,Higher investment score and better overall value.
139,9652,8845,24200000,13000000,1473,893,3,4,56,94,B,Higher investment score and better overall value.
140,7063,617,17100000,12500000,1435,3880,1,5,54,70,B,Higher investment score and better overall value.
141,4585,2510,8300000,17500000,2118,1063,3,3,58,95,B,Higher investment score and better overall value.
142,2414,2236,23700000,20500000,2922,2523,1,2,96,54,A,Higher investment score and better overall value.
143,8282,4568,19500000,4600000,2029,2004,2,4,66,82,B,Higher investment score and better overall value.
144,9349,1976,14200000,14400000,1351,3873,3,2,89,78,A,Higher investment score and better overall value.
145,9320,8311,4200000,19800000,2343,2235,5,2,95,92,A,Higher investment score and better overall value.
146,5767,1904,12500000,19000000,2770,3700,2,3,84,82,A,Higher investment score and better overall value.
147,3463,6292,24600000,14100000,2162,2696,3,4,80,61,A,Higher investment score and better overall value.
148,7174,9060,18900000,18900000,869,2274,3,2,83,58,A,Higher investment score and better overall value.
149,123,6005,4300000,4500000,919,3621,5,4,88,88,A,Higher investment score and better overall value.
150,1466,1495,17800000,12500000,1244,2644,5,5,94,91,A,Higher investment score and better overall value.
151,7656,2742,23200000,7700000,3451,2939,5,3,86,53,A,Higher investment score and better overall value.
152,3057,368,8600000,15800000,1143,2271,2,5,92,99,B,Higher investment score and better overall value.
153,9729,4440,15100000,18000000,3851,961,1,5,74,54,A,Higher investment score and better overall value.
154,8959,9808,24600000,7400000,2309,2719,1,4,93,78,A,Higher investment score and better overall value.
155,672,8653,18400000,7900000,1695,699,5,4,86,72,A,Higher investment score and better overall value.
156,9713,2294,7700000,21100000,2386,2917,1,2,92,55,A,Higher investment score and better overall value.
157,2850,764,12000000,21600000,1505,1630,1,2,68,100,B,Higher investment score and better overall value.
158,3350,4120,23500000,5600000,671,2866,4,5,96,74,A,Higher investment score and better overall value.
159,5469,3652,11600000,16100000,3731,1771,3,3,77,61,A,Higher investment score and better overall value.
160,7290,8346,23300000,13400000,2079,1426,1,4,93,92,A,Higher investment score and better overall value.
161,1657,5421,12300000,19300000,2124,3758,3,4,51,53,B,Higher investment score and better overall value.
162,3555,992,11000000,16500000,2000,2028,5,3,52,91,B,Higher investment score and better overall value.
163,7582,5543,18400000,12400000,2593,2772,4,5,54,59,B,Higher investment score and better overall value.
164,3628,2523,21800000,8300000,964,2143,2,4,65,53,A,Higher investment score and better overall value.
165,2026,7231,4500000,19000000,3582,3508,5,4,95,50,A,Higher investment score and better overall value.
166,6522,9830,14300000,11900000,2567,1657,3,1,77,77,A,Higher investment score and better overall value.
167,271,132,20000000,8000000,3368,2646,2,4,68,72,B,Higher investment score and better overall value.
168,9830,9637,22000000,15300000,1009,2178,5,3,54,87,B,Higher investment score and better overall value.
169,7756,297,19100000,13200000,1268,3244,1,2,99,88,A,Higher investment score and better overall value.
170,4755,2369,16500000,21500000,612,2580,3,2,76,68,A,Higher investment score and better overall value.
171,9836,6887,20500000,11900000,3732,2420,2,2,51,86,B,Higher investment score and better overall value.
172,5886,4157,4300000,18500000,2585,2381,4,2,88,64,A,Higher investment score and better overall value.
173,54,6743,19500000,10000000,1474,2568,4,1,51,60,B,Higher investment score and better overall value.
174,9450,4109,20600000,5900000,741,2113,4,1,90,51,A,Higher investment score and better overall value.
175,8330,811,4800000,13100000,3190,3211,1,2,58,96,B,Higher investment score and better overall value.
176,4846,5138,5200000,8800000,1713,921,2,1,88,58,A,Higher investment score and better overall value.
177,9631,915,11900000,20600000,2146,3039,4,3,56,63,B,Higher investment score and better overall value.
178,4558,7205,3600000,7200000,3340,3585,4,2,81,64,A,Higher investment score and better overall value.
179,7245,607,14400000,22300000,3301,1708,5,3,64,91,B,Higher investment score and better overall value.
180,3280,8862,20400000,21600000,1052,3011,3,2,81,95,B,Higher investment score and better overall value.
181,5074,4425,22600000,24700000,3068,3707,3,4,77,75,A,Higher investment score and better overall value.
182,3141,5950,20100000,18200000,2988,3015,4,4,92,91,A,Higher investment score and better overall value.
183,1769,6552,18900000,24000000,2661,1825,2,4,74,54,A,Higher investment score and better overall value.
184,4988,210,20000000,8400000,3694,2874,1,5,70,85,B,Higher investment score and better overall value.
185,2986,3307,4500000,3500000,2168,1176,1,5,94,92,A,Higher investment score and better overall value.
186,2018,2100,21400000,23700000,1758,777,1,4,68,59,A,Higher investment score and better overall value.
187,2541,6054,5500000,17000000,2096,1771,4,4,53,84,B,Higher investment score and better overall value.
188,7981,4052,10300000,22200000,2535,2778,4,2,85,76,A,Higher investment score and better overall value.
189,7922,9485,7100000,5700000,3796,1494,3,1,53,86,B,Higher investment score and better overall value.
190,1048,2023,9100000,13600000,2843,1366,1,5,89,68,A,Higher investment score and better overall value.
191,1724,1029,12000000,14200000,3799,3462,4,1,58,72,B,Higher investment score and better overall value.
192,925,5072,17600000,14000000,1284,2845,3,1,65,72,B,Higher investment score and better overall value.
193,9791,5465,18200000,9400000,3210,1497,4,5,67,62,A,Higher investment score and better overall value.
194,1523,7080,13200000,4000000,1035,3191,4,5,72,89,B,Higher investment score and better overall value.
195,8829,4370,7300000,18200000,3754,1036,1,1,53,51,A,Higher investment score and better overall value.
196,1938,1795,18800000,22100000,3188,1785,1,5,73,80,B,Higher investment score and better overall value.
197,5911,9319,11600000,13900000,2814,1554,5,4,55,53,A,Higher investment score and better overall value.
198,8982,9983,9100000,18300000,895,3767,2,1,97,93,A,Higher investment score and better overall value.
199,4267,4710,14100000,4000000,932,3335,1,1,56,82,B,Higher investment score and better overall value.
200,2032,3620,7700000,19900000,1916,1440,5,1,65,53,A,Higher investment score and better overall value.
201,7853,6896,24700000,22000000,1841,2419,3,5,71,91,B,Higher investment score and better overall value.
202,669,9741,13900000,10900000,2931,1991,1,2,66,63,A,Higher investment score and better overall value.
203,5169,425,11600000,5800000,2436,1807,2,3,83,70,A,Higher investment score and better overall value.
204,3446,7912,8700000,23600000,3586,2925,1,3,58,53,A,Higher investment score and better overall value.
205,6216,7062,17900000,16600000,3404,1409,5,4,61,75,B,Higher investment score and better overall value.
206,5759,7718,9700000,13800000,3968,2951,3,3,70,69,A,Higher investment score and better overall value.
207,2665,7890,21400000,14000000,1659,3877,4,4,97,90,A,Higher investment score and better overall value.
208,504,6975,25000000,18900000,1210,3446,2,2,69,90,B,Higher investment score and better overall value.
209,1600,4861,20100000,14500000,1542,3027,2,5,75,67,A,Higher investment score and better overall value.
210,1528,3851,4700000,11800000,702,2111,2,1,58,50,A,Higher investment score and better overall value.
211,2192,1028,6800000,14800000,2645,1070,2,2,74,93,B,Higher investment score and better overall value.
212,2861,2160,20000000,6100000,2814,1580,4,4,85,73,A,Higher investment score and better overall value.
213,5704,4415,23600000,16000000,2565,2807,5,5,98,91,A,Higher investment score and better overall value.
214,355,7577,15900000,14000000,2153,1316,1,3,97,51,A,Higher investment score and better overall value.
215,6429,7014,25000000,13600000,3737,2273,3,5,78,75,A,Higher investment score and better overall value.
216,1658,7251,10200000,11200000,2836,3448,1,2,96,69,A,Higher investment score and better overall value.
217,94,592,19600000,5500000,3898,3678,5,2,71,50,A,Higher investment score and better overall value.
218,3936,5984,16500000,11000000,3303,2707,4,4,85,53,A,Higher investment score and better overall value.
219,3206,7290,16400000,8600000,672,3786,1,3,58,57,A,Higher investment score and better overall value.
220,7379,6073,22400000,4400000,1063,3417,1,4,98,62,A,Higher investment score and better overall value.
221,9144,8892,4600000,21200000,2803,1973,2,3,74,73,A,Higher investment score and better overall value.
222,2988,8653,20800000,17100000,2534,2279,3,3,97,88,A,Higher investment score and better overall value.
223,7197,1968,24000000,22900000,1729,1750,4,3,56,67,B,Higher investment score and better overall value.
224,6345,5722,4800000,7600000,2234,1001,3,1,74,76,B,Higher investment score and better overall value.
225,2430,7194,16400000,7800000,1729,2920,4,5,82,62,A,Higher investment score and better overall value.
226,4404,3707,4000000,19700000,755,3434,5,3,76,57,A,Higher investment score and better overall value.
227,3856,903,21100000,15400000,2484,1013,4,2,74,68,A,Higher investment score and better overall value.
228,355,4688,23500000,18600000,1647,3433,3,2,85,90,B,Higher investment score and better overall value.
229,616,1959,24200000,24000000,1083,3219,2,4,64,86,B,Higher investment score and better overall value.
230,6771,5868,19500000,3500000,742,950,4,1,59,97,B,Higher investment score and better overall value.
231,3590,7259,7300000,19900000,1688,3639,4,3,94,58,A,Higher investment score and better overall value.
232,5029,843,13500000,15000000,716,2886,2,1,65,57,A,Higher investment score and better overall value.
233,1243,9132,3500000,19700000,3045,2330,5,3,76,87,B,Higher investment score and better overall value.
234,6490,9515,24100000,22000000,2065,2830,4,3,89,65,A,Higher investment score and better overall value.
235,386,7935,20000000,19200000,1957,1006,2,2,80,87,B,Higher investment score and better overall value.
236,8641,4594,6300000,4500000,1006,2339,5,5,54,68,B,Higher investment score and better overall value.
237,6276,464,4100000,8000000,3870,2610,1,3,70,79,B,Higher investment score and better overall value.
238,4633,7954,13500000,18900000,1583,3866,2,5,90,94,B,Higher investment score and better overall value.
239,4464,5942,9100000,4900000,3718,1190,4,4,58,64,B,Higher investment score and better overall value.
240,1863,1628,12800000,4800000,1647,982,3,3,60,51,A,Higher investment score and better overall value.
241,3725,5679,16500000,12100000,1672,2561,1,3,55,94,B,Higher investment score and better overall value.
242,5801,312,16000000,17600000,2019,789,4,2,74,62,A,Higher investment score and better overall value.
243,4407,5692,6100000,6900000,3791,2294,5,3,95,91,A,Higher investment score and better overall value.
244,3925,6649,21100000,12000000,3500,3799,4,2,99,57,A,Higher investment score and better overall value.
245,4013,8394,3900000,19400000,845,1858,3,1,96,51,A,Higher investment score and better overall value.
246,5127,7154,4100000,19500000,2874,3392,3,4,65,72,B,Higher investment score and better overall value.
247,3075,5847,24200000,15100000,842,2221,5,2,79,71,A,Higher investment score and better overall value.
248,7811,679,5700000,12800000,3753,3453,2,4,54,58,B,Higher investment score and better overall value.
249,3441,3550,19500000,24800000,2130,2263,5,2,58,59,B,Higher investment score and better overall value.
250,2270,1603,24300000,18500000,2396,1925,2,2,88,55,A,Higher investment score and better overall value.
251,3352,9329,18000000,10800000,2100,3744,2,2,86,95,B,Higher investment score and better overall value.
252,2909,583,6800000,12300000,1869,3031,1,4,96,70,A,Higher investment score and better overall value.
253,4788,5060,23600000,8200000,2096,3834,4,4,53,80,B,Higher investment score and better overall value.
254,3657,362,20700000,19700000,1711,3568,1,5,63,66,B,Higher investment score and better overall value.
255,8633,7482,24500000,13700000,2059,3138,5,1,77,100,B,Higher investment score and better overall value.
256,4060,5813,11900000,16600000,1125,3893,1,4,84,79,A,Higher investment score and better overall value.
257,3510,1863,10100000,18900000,2787,1286,1,1,83,95,B,Higher investment score and better overall value.
258,569,61,11900000,17800000,925,1812,5,1,62,97,B,Higher investment score and better overall value.
259,7984,8468,16800000,11400000,1335,957,3,5,67,62,A,Higher investment score and better overall value.
260,4341,6412,15600000,12500000,1016,833,4,5,78,57,A,Higher investment score and better overall value.
261,974,4080,9200000,7100000,2688,1684,1,2,60,78,B,Higher investment score and better overall value.
262,9575,7346,7900000,8600000,1924,3757,2,2,56,66,B,Higher investment score and better overall value.
263,7089,4278,23000000,13000000,626,3901,3,1,79,57,A,Higher investment score and better overall value.
264,8021,6940,12100000,24200000,3716,2202,3,3,54,61,B,Higher investment score and better overall value.
265,1046,722,12000000,7400000,678,1323,2,5,72,72,A,Higher investment score and better overall value.
266,5291,367,19900000,7800000,2970,655,4,2,89,56,A,Higher investment score and better overall value.
267,1635,4598,18400000,23700000,3084,811,4,3,66,50,A,Higher investment score and better overall value.
268,9982,7485,14500000,21900000,3644,2660,2,4,54,59,B,Higher investment score and better overall value.
269,9013,5401,10800000,4200000,1196,1014,5,4,62,61,A,Higher investment score and better overall value.
270,3215,6030,7000000,11700000,2121,3098,2,4,79,59,A,Higher investment score and better overall value.
271,1774,191,20500000,23600000,1596,3573,1,4,65,97,B,Higher investment score and better overall value.
272,6026,2820,20900000,13700000,3971,1856,5,4,79,79,A,Higher investment score and better overall value.
273,1823,6015,7900000,11800000,3128,2196,2,4,82,52,A,Higher investment score and better overall value.
274,5341,5152,12200000,19100000,3221,726,3,2,100,81,A,Higher investment score and better overall value.
275,940,7097,20800000,21400000,3396,2114,4,4,58,76,B,Higher investment score and better overall value.
276,7265,1675,9600000,15400000,1110,1923,1,2,56,78,B,Higher investment score and better overall value.
277,2,5238,21700000,20100000,1988,3614,2,5,83,61,A,Higher investment score and better overall value.
278,9865,543,23300000,14200000,3821,1062,1,1,97,53,A,Higher investment score and better overall value.
279,4588,7332,23600000,11300000,796,2697,3,3,92,77,A,Higher investment score and better overall value.
280,3248,6758,10000000,22100000,2938,953,1,3,51,89,B,Higher investment score and better overall value.
281,3091,6794,14600000,23600000,685,3151,3,5,53,91,B,Higher investment score and better overall value.
282,5634,136,23900000,22300000,1985,3267,1,5,75,71,A,Higher investment score and better overall value.
283,6080,1402,24600000,8400000,2318,3285,1,4,95,98,B,Higher investment score and better overall value.
284,708,7248,11800000,17300000,3771,1431,3,1,80,68,A,Higher investment score and better overall value.
285,5532,6539,20100000,14300000,1014,2313,3,3,94,71,A,Higher investment score and better overall value.
286,9519,258,4100000,3800000,712,892,2,5,69,68,A,Higher investment score and better overall value.
287,9998,3236,20500000,14100000,1201,1017,2,2,90,75,A,Higher investment score and better overall value.
288,3200,5895,21500000,6700000,1508,2204,2,2,80,57,A,Higher investment score and better overall value.
289,3424,8180,17700000,9400000,2666,3927,1,1,65,68,B,Higher investment score and better overall value.
290,5886,6654,15400000,4700000,3767,964,1,5,78,60,A,Higher investment score and better overall value.
291,6254,793,17800000,23200000,3080,757,5,4,86,68,A,Higher investment score and better overall value.
292,9099,8468,16900000,8500000,3522,3520,3,3,75,56,A,Higher investment score and better overall value.
293,4465,4451,10900000,13800000,662,3928,1,2,68,73,B,Higher investment score and better overall value.
294,7635,5536,18900000,22300000,3704,1209,1,5,53,78,B,Higher investment score and better overall value.
295,3428,8791,7100000,5600000,3456,2803,2,2,54,59,B,Higher investment score and better overall value.
296,5603,5630,8200000,23700000,1510,2719,1,4,88,79,A,Higher investment score and better overall value.
297,4626,1328,16300000,20900000,2329,2233,2,4,57,93,B,Higher investment score and better overall value.
298,6744,5908,4300000,21000000,1167,833,4,5,69,73,B,Higher investment score and better overall value.
299,3406,4259,19500000,5400000,2245,2524,4,1,61,59,A,Higher investment score and better overall value.
300,7511,8852,7100000,6200000,1220,3796,4,5,98,99,B,Higher investment score and better overall value.
301,338,6734,21400000,23800000,3868,2775,3,1,55,56,B,Higher investment score and better overall value.
302,2461,8474,24200000,18300000,2753,1106,3,3,87,85,A,Higher investment score and better overall value.
303,1762,6565,9900000,13800000,1920,3827,1,2,93,70,A,Higher investment score and better overall value.
304,2867,2184,17200000,16000000,1246,2248,1,5,58,78,B,Higher investment score and better overall value.
305,631,2706,18500000,13700000,2045,2316,1,2,73,60,A,Higher investment score and better overall value.
306,5655,5356,4300000,17900000,1385,1084,5,4,96,75,A,Higher investment score and better overall value.
307,8392,9609,24700000,18800000,756,881,1,4,96,83,A,Higher investment score and better overall value.
308,2042,3322,17800000,4900000,3561,1493,1,4,73,100,B,Higher investment score and better overall value.
